target	first_context	second_context	label	comment
besværlighed	I 50'erne blev det efterhånden muligt at rejse sydpå uden alt for mange besværligheder	Da bartenderen skænker op, har han store besværligheder med at ramme glasset. Han er plørefuld	same_sense	296
fugl	Skoven var fuld af fugle. De kvidrede og sang omkring os	Melvin sprang op af lænestolen og kiggede på fuglene, der fløj rundt ude i haven	same_sense	1244
tilholdssted	Urfuglen, som har heden som tilholdssted, er næsten forsvundet fra det danske landskab	På Christiania i det tidligere hippiested Fredens Ark fandt punkerne et tilholdssted for deres samvær og musik	same_sense	3812
tilbageholdenhed	Tyskland kom ud for kraftig amerikansk kritik for sin tilbageholdenhed under Golfkrigen	Hele hendes kropssprog signalerede en tilbageholdenhed, som gav et meget blufærdigt indtryk	same_sense	3810
toksikolog	hun ved, hvad hun taler om. Hun er ernæringsekspert, toksikolog og forfatter til bogen "Kend de spiselige vilde planter — og undgå de giftige"	Slangebid er den mest oversete af de mange oversete tropesygdomme, siger toksikolog og herpetolog David Williams	same_sense	4757
kommunalreform	Nu ved jeg ikke, hvor mange mennesker der går rundt i landet og identificerer sig med deres kommune. Men mit bud ville være: Færre i dag end før kommunalreformen	De store kommunalreformer var ikke tilstrækkelige til at bremse væksten i den offentlige sektor	same_sense	1835
politiassistent	Han sigtes for overtrædelse af færdselsloven, og ifølge vagthavende politiassistent formentlig også for uagtsomt manddrab	Politiassistenten husker særligt én hændelse, da han var helt ny som færdselsbetjent. Her skulle han ud og informere en ægtemand om, at hans kone var død i et trafikuheld	same_sense	2820
strygebræt	Vi fik aldrig købt ordentlige møbler, brugte et strygebræt som bord	Da de andre piger begyndte at få former, var jeg stadig flad som et strygebræt	same_sense	3613
hundefører	Det fascinerende ved at være hundefører er, at hvis man forstår at fremkalde samspillet mellem sin hund og én selv, er man en enhed	Susanne og hunden Louie har trænet i et år for at blive hundefører og narkohund hos Skat	same_sense	1584
vare	i et sidste desperat træk har mange butikker sat deres varer på udsalg før jul	Prostituerede får smadret deres følelsesliv. De "lærer", at deres krop er en vare til salg	same_sense	4072
leverandør	Mejeristen .. modtog mælk fra sine leverandører i landsbyen	Siden 1964 har hun været en flittig leverandør til Blæksprutten og til mange revyer	same_sense	2040
græs	Jeg elsker at gå barbenet på grønt græs	han måtte længere og længere væk for at finde brugbar græsning til køerne. Græsset var gult og groede ikke	same_sense	1374
karljohan	naturen er så viseligt indrettet, at karljohan med sin kraftige nøddeagtige smag ikke bare er en af vores allerbedste spisesvampe — den er også meget, meget let at genkende	Karljohan fungerer til det meste — pasta med svampesauce, svamperisotto, svampesuppe og svampetærte	same_sense	1780
stab	General William G. Dagunis og hans stab er klar med 50.000 amerikanske tropper i den saudi-arabiske ørken	Vi er glade for at have en fast stab af rengøringsfolk, som føler sig ansvarlige over for deres arbejdsplads	same_sense	3538
brasseri	Nordisk spisehus er, hvad man i sydligere egne ville kalde bistro, brasseri eller taverna — altså et sted, hvor man kommer forbi, indtager et måltid og smutter igen	i Paris har de været rundt på mindst 30 brasserier for at samle inspiration til indretningen af Nimb's Brasserie	same_sense	452
hygge	Efter en times tid med te og hygge, trak gæsterne sig tilbage til deres respektive værelser for at hvile	Der var en stor kakkelovn som gav dejlig varme og hygge	same_sense	1619
arbejdsrum	sønnens værelse havde Eva indrettet til arbejdsrum for sig selv. Dér havde hun sin symaskine og sit tegnebord stående	Da jeg kom til mit arbejdsrum, "tegnestuen" hvor vi er 4 der arbejder, var der sat flag og gaver frem	same_sense	171
centralbank	først den amerikanske centralbank og siden den europæiske centralbank gik i gang med at sætte renterne ned for at få økonomierne på fode igen efter finanskrisen	Den tyske regering profiterer af, at dollaren er så stærk, det er sandt. Men det er den amerikanske centralbank, som har gjort dollaren stærk med sin rentepolitik	same_sense	602
forbrug	Nordspanien har vand til 1-2 års forbrug, selv hvis der ikke falder ny regn	De fleste, der får lungekræft, er storrygere med et forbrug på mere end 15 cigaretter om dagen	same_sense	1147
forbud	Jeg er .. ikke tilhænger af ideer om generelt forbud mod alkohol på arbejdspladsen	Vi har fået forbud mod at udtale os direkte til pressen	same_sense	1150
kontraststof	spiserør og mavesæk gøres tydelige på billederne ved, at patienten drikker noget kontraststof	nu vil de pumpe mig fuld af kontraststof og tage billeder af øjets spinkle blodkar	same_sense	1862
bilag	Idet jeg takker for Deres ansøgning og returnerer de medsendte bilag, skal jeg meddele, at De ikke er blandt de indstillede	De yderligere foranstaltninger, der kræves for laboratorier og dyrerum, er anført i bilag 4	same_sense	328
utøj	Hvis en hund klør sig meget og fælder skæl, er det sandsynligt, at den har utøj	Tomaternes værste utøj er hvide fluer	same_sense	4019
formand	Hun er formand for en 11 mand stor styregruppe, der er nedsat af forskellige folk fra turistbranchen	Som formand for den lokale jagtforening er han naturligvis interesseret i at bevare levevilkår for vilde dyr og planter	same_sense	1176
hankat	hos den kønsmodne hankat kan man se testiklerne som to runde kugler under endetarmsåbningen	De to åbenlyse fjender hvæsede af hinanden som to hankatte	same_sense	1450
plastic	I 1949 kom de første byggeklodser i plastic, der hed Automatic Binding Bricks. Det blev til Lego Mursten	juletræet var af plastic, men kalkunen var ægte nok	same_sense	2794
armhule	Andreas står midt ude i Uggerby Å med vand op til armhulerne	Det er kun to procent af europæerne, der ikke kan få ildelugtende armhuler	same_sense	174
folkekirke	Danskerne har generelt et ambivalent forhold til folkekirken. Vi betaler til driften af den, men den spiller ingen rolle i vores hverdag	Den evangelisk-lutherske kirke er den danske folkekirke og understøttes som sådan af staten	same_sense	1123
alfabet	ca. 1000-1200 — den tid hvor runeskriften afløstes af det latinske alfabet	Beta og gamma er betegnelserne for det andet og tredje bogstav i det græske alfabet	same_sense	77
lydbølge	Når vi taler, sætter stemmebåndet luften i svingninger og danner lydbølger	Det ydre øre består af ørebrusken, som opfanger lydbølgerne fra omgivelserne, og øregangen, der leder lydbølgerne hen til trommehinden	same_sense	2103
snold	fik du lommepenge som barn til for eksempel at købe noget snold?	Biografernes priser på snold er alt for høje	same_sense	3462
nubier	Nubierne syd for Aswan har antaget den arabiske religion og kultur, men de ældre taler stadig nubisk indbyrdes	Nubierne har kun sjældent været herre over deres egen skæbne. Det blandede arabisk-afrikanske ørkenfolk har betalt en høj pris for at leve omkring Nilen, langs forbindelsesvejen mellem det østlige Middelhav og det sorte Afrika	same_sense	2500
kulturhistoriker	Han var medarbejder ved Politiken i femten år, professor, kulturhistoriker, en mand med dybt kendskab til arkitektur og kunst	Historien om Bellman i Danmark har optaget både svenske og danske forskere, litteratur- og kulturhistorikere i snart 200 år	same_sense	4685
nej	Helhjertet i politik — det var jeg nok kun på ét eneste sted: I det negative, i nej'et til ondskaben, nazismens ondskab	Da vi stemte den 2. juni, blev det som bekendt til et nej til den traktat, som Danmark havde været med til at forhandle	same_sense	2484
bikini	selvfølgelig skal vi da også have luftet badebukser og bikini. Der er masser af fine sandstrande på Korfus vestkyst	Stranden er offentlig, så tag hensyn til lokalbefolkningen, og undlad bikini og topløs solbadning	same_sense	317
fremskridt	Tekniske fremskridt har givet os vor rigdom, vor velfærd	Luciano Pavarotti gjorde gode fremskridt som sanger	same_sense	1231
togt	I 1976 søgte hun at komme på togt med skoleskibet "Georg Stage"	En amerikansk astronaut og en sovjetisk kosmonaut skal måske bytte rumskib under et togt i ret nær fremtid	same_sense	3851
bulletin	I den seneste bulletin fra hospitalet betegnes pave Johannes Pauls tilstand som tilfredsstillende	København som kulturby. Det planlægger vores kulturminister ifølge de sidste bulletiner i dagspressen	same_sense	528
samvær	andelsforeningen er så glad for selskabeligt samvær, at den har egen café og festlokale	Samværet mellem samværsforælderen og barnet og omfanget af dette vil ofte fremgå af en samværsaftale indgået mellem forældrene	same_sense	3132
ske	Anders fører langsomt skeen op til læberne og nipper forsigtigt til den varme suppe	Dejen røres sammen med en ske	same_sense	3309
social- og sundhedsassistent	Uddannelsen til social- og sundhedsassistent er for dig, som gerne vil arbejde med mennesker, som har brug for særlig pleje og omsorg i hverdagen	Laila arbejder som social- og sundhedsassistent, men vil videre, så hun starter på sygeplejerskeuddannelsen	same_sense	3469
pumpe	Det er også nødvendigt hele tiden at have pumper kørende, da minen ellers ville blive fyldt med vand	Bedste står ved pumpen og skal til at fylde en spand med vand	same_sense	2916
snurretop	han prøvede .. at spille top og slå på en lille snurretop med en pisk, så den blev ved at dreje	Jordens akse bevæger sig i rummet ligesom en snurretop der er ved at vælte	same_sense	3468
pik	Der er intet flovt ved det. Læger har set tusindvis af pikke, så der er intet nyt under solen	Tissemand er barnligt, penis er meget klinisk, pik vil støde nogen, og lem er lidt gammeldags	same_sense	2758
skræl	Pærestykkerne, som bruges til fyld i kagen, skal være faste og uden skræl	Grisene, som grynter rundt .., gnasker øjeblikkeligt de skræller i sig, som hun smider ned	same_sense	3357
hulrum	Fuglene yngler i huler eller revner i fjeldet eller hulrum under store sten	Det indre øre består af en række kanaler og hulrum omgivet af knoglevæv og indeholdende såkaldt perilymfe	same_sense	1573
rad	som den lumske rad han var, lagde han sig på lur	jeg har været en heldig rad	same_sense	2939
autorisation	Enhver kan kalde sig kiropraktor i dag. Vi vil have titlen beskyttet, så kun de uddannede kan få autorisation	Der kræves en autorisation som elektroinstallatør for at kunne drive en el-installationsforretning	same_sense	218
modvilje	Modviljen mod alt tysk i årene efter besættelsen var skyld i, at så få journalister talte et hæderligt tysk	han vågnede altid med kvalme og inderlig modvilje mod at stå ud af sengen	same_sense	2379
ubalance	Selvom jeg var meget glad for min mand, følte jeg, at vores forhold var i ubalance. Han var nærmest som en lærer for mig	Dine blødningsforstyrrelser skyldes ubalance i dit hormonsystem	same_sense	3942
lov	pensionister får lov til at bo hele året i deres sommerhus	Jeg gør det du giver mig lov til. Hverken mere eller mindre	same_sense	2077
quiche	Servér quicherne varme eller lune og giv lidt grøn salat til	Den oprindelige quiche med tilnavnet lorraine stammer fra det nordlige Frankrig	same_sense	2935
brændevin	de ældre — dvs. mændene — tævede i kortene og drak for meget brændevin	[raki] er en brændevin med anissmag	same_sense	513
neger	I USA har man haft et veritabelt studenteroprør omkring borgerretsbevægelsen for negrenes frihed	Om man kan lide det eller ej, er det helt korrekt, at ordet "neger" ikke længere er en gængs, neutral betegnelse	same_sense	2473
skudhold	Jægerne fortæller, at de har set et rensdyr. Men de kom ikke på skudhold, ærgerligt nok	hun [er] pigen, som alverdens super-fotografer gerne vil på skudhold af	same_sense	3358
A-brev	I fjerde kvartal af 1993 var 94,9 pct. af alle A-breve fremme hos modtageren dagen efter afsendelsen	Post Danmark har ikke længere pligt til at levere breve fra dag til dag, de såkaldte A-breve	same_sense	4
nyklassiker	Da Curtis Hanson filmatiserede James Ellroys misantropiske mammutroman 'L.A. Confidential', skabte han en nyklassiker inden for film noir	De tilbagevendende kampe mellem de to lokomotiver i dansk fodbold, FC København og Brøndby IF, er blevet en nyklassiker	same_sense	2511
supertanker	De store supertankere er tankskibe på helt op til ca. 500000 tons	Historien er en supertanker. Den ændrer ikke kurs i løbet af en generation eller to	same_sense	3634
bondekarl	Den store søgning af malkepiger og bønderkarle til folkehøjskolerne bidrog til andelsbevægelsens eksplosive gennembrud	sådan nogle fjollede bondekarle, som drak sig fulde til ballerne og sloges eller sad nede på kroen og raflede	same_sense	406
næringsstof	Fedt er det næringsstof, der indeholder mest energi pr. vægtenhed (37 kJ pr. gram fedt)	At rive, male, blende og saftpresse frugt og grøntsager vil forårsage et vist tab af næringsstoffer	same_sense	2514
navnetræk	Parterne sætter først deres navnetræk på kontrakten i maj, men alt synes klart	Urban gik med ham over i vognporten og udpegede en lukket vogn med forgyldt navnetræk på døren	same_sense	2469
rodeo	Netop i rodeoen har vi alle de dygtigste ting, en cowboy kan. Som at fange en kalv. Det er nok den vigtigste af hans arbejdsopgaver	Går turen til det vestlige USA eller Canada i sommerhalvåret, må man ikke snyde sig selv for at overvære et rodeo	same_sense	3018
telegram	Han læste telegrammet igen – telegrammet fra Canada. PIA SYG. KOMMER IKKE. METTE	Jeg mødte .. på bladet kl. 7 om morgenen og fordelte nattens telegrammer fra Ritzaus Bureau: Sportstelegrammerne til sportsjournalisterne; indenrigspolitik til chefredaktionen	same_sense	3776
playoffkamp	Formsvage Danmark skal ud i playoffkampe for at komme med til EM i Frankrig	Gruppe-vinderne er garanteret en plads ved EM, mens yderligere fem pladser fordeles efter play-off-kampe mellem toerne	same_sense	2798
ateisme	Den skeptiske ateisme kender vi mest til i Vesten. Den er skeptisk, fordi den går ud fra, at der ikke findes nogen absolut sandhed	Ateisme nåede [brødrene Brandes] uden hindringer frem til som en slags ideologi	same_sense	194
pedalspand	Det hele begyndte med en mand, der for godt 60 år siden lavede en praktisk pedalspand til sin kones frisørsalon. Spanden er stadig i familiens eje, og i dag markedsføres den efter en global brandingstrategi	Verena kastede det bortskårne i en pedalspand og gjorde sig umage for at få låget til at smække	same_sense	4227
hvedebrødsdage	Dalat er kåret som Asiens mest romantiske by, og det er hertil brudeparrene valfarter for at tilbringe hvedebrødsdagene	Skuespillerparret nåede at fejre guldbryllup, og de fortalte altid, at deres ægteskab gennem alle årene var lige så lykkeligt som i hvedebrødsdagene	same_sense	1602
arnested	Filmskolen er arnested for dansk film. Her spirer filmtalenterne og fremtidens film, som vi er kendt for i hele verden	Badeanstalterne blev .. ramt af kristen vrede, fordi de kunne være arnested for syndig omgang mellem kønnene	same_sense	177
ansvar	Forretningsudvalget forestår foreningens daglige ledelse under ansvar over for hovedbestyrelsen	Jeg ved godt, at det var dumt af mig at lade mig udskrive på eget ansvar fra hospitalet i mandags	same_sense	142
husdyr	Blandt husdyrene var kvæg, heste, svin og får almindelige	Du ved jo, at far ikke kan tåle katte og hunde. Han kan ikke få vejret, hvis han er i stue med husdyr	same_sense	1591
pumpgun	Med pumpguns og en pistol truede tre hætteklædte røvere kasernens vagter til at udlevere nøglen til våbengaragen	han havde anskaffet sig en pumpgun, fordi han var bange for nogle unavngivne personer, som havde truet ham	same_sense	2917
krolf	Man kan spille et-huls krolf, men de fleste baner har 12 huller og afstanden mellem hullerne varierer fra 5 til 30 meter. Op til seks spillere (alle aldre kan deltage) er på banen samtidig og skiftes til at slå	det er det tiende VM, siden krolfen blev organiseret i 1989	same_sense	4252
snapshot	Karin .. samlede hele holdet til et snapshot, der skulle bruges som årets julekort	Jeg er vokset op med at være kendt og har vænnet mig til, at folk kigger på én, måske spurgte høfligt, om de måtte tage et snapshot til deres private album	same_sense	3453
morder	En morder skaber panik i London. Han myrder kvinder, der er alene hjemme	Demonstranterne fordømte "morderen Gorbatjov" og det, de kaldte det "blodplettede samarbejde mellem russere, armeniere og Vesten"	same_sense	2391
image	Det var i den periode, hvor Information fandt sit image som de intellektuelles avis	Kirsten ville meget gerne væk fra sit image som sexet, smådum dulle	same_sense	1657
øjenbryn	[jeg fik] flækket mit ene øjenbryn, og det måtte syes med seks sting	Mange fyre vælger .. at få farvet øjenbryn og -vipper for at få noget glimt i øjet	same_sense	4170
hat	Bjørn var en elegantier. Han var en flot mand med cigar, hat og paraply	danskeren ser på ham, letter på hatten og siger: "g'aften, godaften"	same_sense	1459
svigermor	Min svigermor havde inviteret os og resten af familien i sommerhus. Vi spiste påskefrokost sammen, lavede gækkebreve og fandt æg udenfor	hun bor sammen med mand, svigermor, en søn af egen avl og to bonussønner	same_sense	3659
kærlighedserklæring	De mange breve, han skrev til sin kone, skiftede mellem ømme kærlighedserklæringer og rasende beskyldninger for utroskab	Efter såd'n en yndig aften vil man aldrig mere hjem, skrev Poul Henningsen i sin kærlighedserklæring til Tivoli	same_sense	1973
sendetilladelse	Storbritannien har gennem en lang række år været hjemsted for en række TV-stationer, der har haft deres sendetilladelser i det britiske. Blandt andet bliver TV3 i Danmark sendt fra London	Lokalradionævnet afviser at give sendetilladelse til lokalradio i Greve for danske nazister. De vil overtræde lovgivningen om racediskrimination, mener borgmester	same_sense	4444
kommunalpolitik	I alt 33 år deltog han i kommunalpolitik, først som medlem af sognerådet og derefter Grundsø Byråd	Der er meget mere indflydelse at hente for den enkelte borger i kommunalpolitik end i landspolitik, og novembers kommunalvalg er en enestående chance for at få danskernes øjne op for dette	same_sense	1834
onlinebutik	Der er efterhånden rigtig mange onlinebutikker, der sælger boligtilbehør, og der er virkelig penge at spare på puder, håndklæder og vaser	I en onlinebutik ved man, hvad kunderne køber, men også hvad de kigger på, inden dankortets oplysninger bliver tastet ind	same_sense	4617
udregning	Hans udregninger har indtil nu vist, at kongekammeret må ligge præcis i pyramidens centrum, nær jordoverfladen	Kontroller udregningen af nettobeløbet	same_sense	3963
tilpasning	ergonomi er læren om tilpasning af arbejdsredskaber og arbejdsforhold til de menneskelige krav	en række brancher [gennemfører] i øjeblikket omfattende tilpasninger og rationaliseringer	same_sense	3817
ark	Digtet fyldte hele det lille lyserøde ark papir, og det var skrevet med omhyggeligt prentede tegn	Akvarelpapir fås både i løse ark og i blokke i forskellige formater	same_sense	172
landzone	arealer, som føres tilbage til landzone, [kan] kun undtagelsesvis på ny overføres til byzone/sommerhusområde	74 pct. af arealerne i landzone i region Nordjylland anvendes til landbrugsproduktion. Det svarer stort set til landsgennemsnit	same_sense	2005
børste	Håret redes forsigtigt med en blød børste	Levende krabber skrubbes med en stiv børste under rindende vand	same_sense	593
gratulation	Jeg har i dag fået 20-25 gratulationer på sms og mail fra hele verden	gratulationerne begyndte at vælte ind i form af krammere, begejstring og lykønskninger	same_sense	1353
hvile	Vi kender alle vigtigheden af hvile efter en hård dags arbejde	Lev regelmæssigt med passende søvn og hvile	same_sense	1608
ADHD	Vi ser i disse år et boom af henvisninger af børn, som diagnosticeres med tilstanden ADHD, tidligere kaldet DAMP. Disse børn har vanskeligheder med hyperaktivitet, impulsivitet og koncentrationsevne	I Norge, Sverige og Amerika er forskningen på DAMP området længere fremme. Amerikanerne arbejder med en tilsvarende diagnose kaldet ADHD	same_sense	4354
vamp	en sur, kedelig og grå kvinde forvandler sig til en forførende vamp, der stinker af sex	Britt var en meget stille pige i 1. g, men nu er hun vokset til en værre vamp med orange læber, lilla hår og sorte negle	same_sense	4030
informationssamfund	i et moderne informationssamfund er kirkeklokker og små dilettantiske kirkeblade ikke nok til at vække opmærksomhed	Når vi siger, at alle samfund er informationssamfund, bygger det blandt andet på, at information er helt uomgængelig, når der skal træffes beslutninger	same_sense	1682
samfundssind	Af sine lærerforældre er han opdraget til at vise samfundssind og gøre en forskel	I Danmark er der blevet talt meget om samfundssind i forbindelse med at forhindre spredning af virus og for at mindske følgerne af pandemien	same_sense	3093
adresse	Lone spurgte viceværten om Louises nye adresse, så hun kunne eftersende brevene	Hun har fast adresse i Australien, men også en lejlighed i Paris	same_sense	10
sangerinde	Her er for en gangs skyld tale om en kunstner, som både er en teknisk dygtig og fuldkommen fabelagtig sangerinde, der har noget på hjerte	Den fænomenale sangerinde .. betog Roskilde Festivalen med en forrygende koncert for to år siden	same_sense	3141
sygdom	Skizofreni er blandt de 5 hyppigste sygdomme (fysiske sygdomme medregnet) i de vestlige lande	Mangel på rent vand er hovedårsagen til sygdomme i Den tredje Verden	same_sense	3705
vaniljekrans	Bag vaniljekransene i 10-12 min, til de er let gyldne	Der står hjemmebagte klejner og vaniljekranse på Jens' sofabord	same_sense	4063
menighedsråd	Det er biskoppen, der sammen med menighedsråd og provstiudvalg indstiller en ny provst til Kirkeministeriet	til efteråret skal der vælges nye menighedsråd i landets ca. 2.000 sogne	same_sense	2237
transvestisme	Transvestisme bliver ofte betragtet som anderledes og afvigende fordi vi i vores kultur tænker i modsætninger, og her kommer køn i to udgaver, mænd og kvinder	Transvestisme er naturligvis tilladt i Danmark, hvor der gives plads for alle seksuelle minoriteter	same_sense	3880
kunstner	Maleriet alene gør det ikke. Grafik, skulptur, keramik og foto tages også i brug, når kunstneren Peter Brandes skal have afløb for sin skabertrang	vi [præsenterer] et fabelagtigt show med masser af dansk underholdning og et væld af kendte og populære kunstnere	same_sense	1941
krabask	Nille (Kirsten Olesen) giver Jeppe (Ole Ernst) stryg med krabasken — også kaldet Mester Erik	Men [borgmesteren] har også kunnet svinge krabasken — f.eks. i indvandrerspørgsmål	same_sense	1878
efterløn	Når folk går på efterløn er det, fordi de er nedslidte efter et langt arbejdsliv	Det var min plan at gå på efterløn, når jeg blev 60. Nu skal jeg holde, til jeg bliver 62	same_sense	856
damphammer	Allerede fra 1700-tallet genererede Hargreaves' Spinning Jenny og lyden af de andre vævemaskiner og damphammere støj nok til at forvandle mange nordeuropæiske småbyer til infernoer af lyd	Hendes hjerte havde hamret som en damphammer	same_sense	670
selvstudium	Højere forberedelseseksamen kan aflægges efter selvstudium eller efter undervisning på kursus	Hauch blev grebet af videnskaben og skaffede sig ved selvstudium betydelig viden	same_sense	3204
begrundelse	Hardy Hansens begrundelse for lønkravet på 7 % er, at priserne er steget og har udhulet reallønnen	Dagpengene ophører med den begrundelse at 2-årsperioden er udløbet	same_sense	270
psykoanalyse	For Freud og psykoanalysen generelt var det ubevidste identisk med det forestillingsmateriale, vi gennem livet havde erhvervet os, men fortrængt	Det er de intellektuelle, der i dag går i psykoanalyse	same_sense	2896
ægtehustru	Vil du tage denne kvinde, som hos dig står, til din ægtehustru?	I ritualet for bøsser og lesbiske er ordene "ægtemand" og "ægtehustru" udskiftet med "ægtefælle"	same_sense	4149
parabol	Parabolen rettes .. mod TV-SAT, indtil du får tilstrækkeligt med signal ind på tuneren	Jeg har .. fået anbefalet, at jeg skulle montere 100/80 W pærer H4 i mine paraboler i stedet for de originale 60/55 W	same_sense	2704
vane	Han havde en vane med at vippe på sin stol	jeg er inde i en vane for tiden med at stå op kl. 9	same_sense	4037
formiddag	Jeg tror jeg vil bruge formiddagen til at pudse vinduer indvendig	Hele formiddagen var huset fyldt af kaffedrikkende gæster, der kom for at ønske tillykke	same_sense	1179
aficionado	for folk som interesserer sig for kriminallitteratur er Snare kendt som en aficionado af genren og en overordentlig belæst ekspert	Den to-sædede 4C sportsvogn fra Alfa Romeo genopliver våde drømme hos aficionados	same_sense	23
ting	Befolkningen kan ikke være tjent med, at tinget nedvurderes, og at respekten for det nedbrydes	Loven vedtoges og bekræftedes på tinget	same_sense	3823
samvittighed	Efter mordets heldige udfald, tynges han af sin samvittighed så han til sidst melder sig selv for at modtage sin straf	Skyldes det sort samvittighed hos os, når vi fortsat pumper milliarder i Afrikas bundløse kar ..?	same_sense	3131
brunch	Den bedste brunch får jeg i privaten med friskbagt bagerbrød og hjemmepresset juice	Brunchen indeholder blandt andet røget laks fra eget røgeri, som bliver serveret med krebsehalesalat. Desuden får man to slags gårdoste sammen med italiensk skinke med melonsalat foruden den klassiske røræg & bacon	same_sense	497
nervebundt	Han var den første til at påpege den gabende afstand mellem den helterolle, han fik tildelt, og det nervebundt, han indimellem følte sig som	Hun tog piller for at sove, for at synge og smile, for ikke at ryste. Hun var skind og ben, et nervebundt	same_sense	2485
integration	Det væsentligste og mest afgørende element for en vellykket integration er, at udlændingene kan det danske sprog	I slutningen af 2. semester kan der etableres integration med beslægtede fag	same_sense	1709
bulimi	I gymnasiet udviklede hun spiseforstyrrelsen bulimi, som hun de næste 17 år kæmpede med at skjule for omverdenen	Anoreksi og bulimi optræder ti gange hyppigere hos piger end hos drenge og rammer tidligere og tidligere	same_sense	525
taburet	bare vi har stole nok. Moderen talte efter på fingrene. Ellers må han sidde på en taburet	Dagen lang sad [skomageren] på sin trebenede taburet iklædt sit store forklæde og arbejdede	same_sense	3747
erklæring	i en fælles erklæring [har medlemslandene] fastslået, at EF-samarbejdet foregår mellem uafhængige og suveræne stater	Manden har været igennem en mentalobservation, og erklæringen herfra sendes nu via statsadvokaten til Retslægerådet	same_sense	925
ris	[kvinderne] planter risen med håndkraft, sådan som man har gjort det i tusinder af år	jeg rejste mig for at hente en tallerken gullasch med ris	same_sense	3007
salamimetode	EF-Unionen drejer sig om, at Danmark efter salamimetoden kommer til at afgive suverænitet til EF	Nedskæringer i velfærd kan, selvom de følger salamimetoden, være med til at tage livet af folk. Det sker bare lidt efter lidt, og så kan ingen dokumentere, hvilken nedskæring der var den dødbringende	same_sense	3082
forladelse	far er en stædig stivnakke, og jeg vil ikke være den første, der beder om forladelse!	dette er mit blod, pagtens blod, som udgydes for mange til syndernes forladelse	same_sense	1169
kirtel	Hos mennesket er leveren legemets største kirtel	Fra kirtler under bagkroppen udskiller bierne voks	same_sense	1808
livsfare	hele huset var omringet af ild, så hun var i yderste livsfare	Han er ikke i livsfare, men han er ramt flere steder på kroppen, fordi der er skudt med hagl	same_sense	2060
boulevardpresse	Ved skilsmissen i 1963 fik hun til boulevardpressens fryd i retten opregnet godt 88 elskere	boulevardpressen i Sverige er nu også mere britisk end den danske. Den får eddermame kørt noget sladder af	same_sense	444
samtidskunst	Vi har et rimeligt pænt besøg af unge, også fordi vi udstiller en del samtidskunst, hvor kunstnerne gør brug af video- og computerinstallationer	Fire år før åbningen døde billedhuggeren Bertel Thorvaldsen, der lagde navn til verdens første museum for samtidskunst	same_sense	4433
deleforældre	Louise og Johannes har fundet en god rytme som Maggies deleforældre	De to har ellers været sammen i 18 år, men er nu deleforældre til børnene på 14 og 11 år	same_sense	751
håb	afgiftslettelsen gav branchen håb om et nyt marked. Men det håb brast hurtigt igen	Det er vores håb, at denne artikel kan bidrage til at skabe større indsigt i det komplicerede område	same_sense	1627
transportmiddel	Cyklen er et genialt transportmiddel, som 1 million danskere benytter til hverdag	Ved varetransport var lamaen inkaernes vigtigste transportmiddel	same_sense	3879
scrabble	Jeg sad og spillede scrabble med nogle venner forleden (brætspillet, altså), da ordet 'mø-jord' dukkede op	Derhjemme, hvor moderen var skolelærer og faderen ingeniør, blev der spillet bridge og scrabble	same_sense	3154
ståltråd	et højt, kraftigt hegn af stormasket ståltråd forhindrede ham i at slippe ud på marken	Kransen laves af ståltråd, og roser, buksbom og brudeslør bindes på	same_sense	3621
hjemegn	Mange bønder blev bragt i en håbløs gæld og måtte stikke af fra deres hjemegn og familie	Selvom flamenco-dansens hjemegn er Andalusien, er den af natur meget orientalsk	same_sense	1493
manuduktion	I stedet for den traditionelle indlæringsmåde i form af forelæsninger, manuduktioner, stramt pensum og anonyme eksamener sender RUC de studerende ud i marken for at belyse emner i grupper	Studerende, som køber sig til lektiehjælp, manuduktion eller 'pirat'-undervisning, får ikke højere karakterer end andre studerende	same_sense	2199
modtræk	Som et modtræk til NATO dannede Sovjetunionen og andre kommunistiske østlande i 1955 Warszawa-pagten	bredformat-filmene opstod bl.a. også som et direkte modtræk mod fjernsynet	same_sense	2378
grafolog	En grafolog vil kunne fortælle noget om din personlighed, blandt andet at skrifthældningen tyder på, at du er mere indadvendt end udadvendt	jeg ville gerne høre en skriftklog grafologs mening om disse skriblerier som underskrift	same_sense	1333
topskat	Lønmodtagere, som betaler topskat, skal fortsat betale 62 procent i skat af den sidst tjente krone	regeringens lempelser i topskatten var noget, der i højere grad kom de højtuddannede til gode end arbejderne	same_sense	3858
girokort	Nogle anvender stadig girokort, men vi prøver ihærdigt at overbevise dem om, hvor dyrt de betaler for det, og at det er en bedre idé at oprette en betalingsaftale i banken	De fleste bilister har været i den ærgerlige situation, at der hænger et girokort og blafrer i vinduesviskeren, når man vender tilbage til sin bil efter en tvivlsom parkering	same_sense	1308
slips	Han bandt slipset foran spejlet	Man skal helst have jakke på og slips i forretningsverdenen	same_sense	3431
fløde	Bruger De sukker og fløde i kaffen?	Fløden piskes stiv og blandes forsigtigt i risengrøden sammen med et antal hele mandler	same_sense	1113
lage	Friske jomfruhummere lægges i en kogende lage af vand, tilsat 1 spsk salt og 1 tsk sukker pr. liter vand	Smag lagen fra ferskner til med lidt akaciehonning, lidt stødt kanel og citronsaft	same_sense	1992
