target	first_context	second_context	label	comment	pos	first_word	first_position	second_word	second_position	
folkeskolelærer	disse fremragende folkeskolelærere på min datters skole har lært dem ikke alene selvforståelse, men giver dem tillige social forståelse og engagement	Jeg er gift med en folkeskolelærer. Jeg oplever tit, at min kone kommer frustreret og totalt udbrændt hjem	same_sense	1130	sb.	folkeskolelærere	(18, 34)	folkeskolelærer	(19, 34)	1
folkeslag	I århundreder levede arabere og jøder, to semitiske folkeslag, fredeligt side om side i Palæstina	Jeg elsker at gå i spraglet tøj inspireret af primitive folkeslag	same_sense	1133	sb.	folkeslag	(52, 61)	folkeslag	(56, 65)	1
folketing	Altinget var en slags nordboernes folketing	modsat det svenske folketing vil et stigende antal svenske vælgere gerne være i stue med Sverigedemokraterne	same_sense	1134	sb.	folketing	(34, 43)	folketing	(19, 28)	1
for	Pelse med Birger Christensens navn syet ind i foret sælges over hele verden	Bløde skindhandsker med lunt fór er en god gave	same_sense	1135	sb.	foret	(46, 51)	fór	(29, 32)	1
forandring	virkeligheden er i stadig forandring, mere eller mindre uafhængigt af os	Der er virkelig brug for en mindre forandring i folkeskolens undervisningsmetoder	same_sense	1136	sb.	forandring	(26, 36)	forandring	(35, 45)	1
forargelse	jeg følte virkelig forargelse over, at du havde løjet for mig	Meir Goldschmidt havde i sit satiriske ugeblad Corsaren .. til skikkelige københavneres åbenlyse forargelse og hemmelige fryd — gjort nar af alle mulige kendte personer	same_sense	1139	sb.	forargelse	(19, 29)	forargelse	(97, 107)	1
forbedring	Den reviderede plan fra Moskva er en klar forbedring i forhold til den, vi hørte om i går aftes	Værdien af forbedringer i lejligheden ansættes til anskaffelsesprisen med fradrag af eventuel værdiforringelse	same_sense	1140	sb.	forbedring	(42, 52)	forbedringer	(11, 23)	1
forberedelse	Truede dyr i Danmark omfatter nu 6 bøger. Flere bøger i serien er under forberedelse	forberedelserne til undervisningen tager mindst et par timer hver dag	same_sense	1141	sb.	forberedelse	(72, 84)	forberedelserne	(0, 15)	1
forbillede	et internationalt net af familieparker med forbillede i Legoland i Billund	Bente har haft et dårligt forbillede i sin mor	same_sense	1144	sb.	forbillede	(43, 53)	forbillede	(26, 36)	1
forbrug	Nordspanien har vand til 1-2 års forbrug, selv hvis der ikke falder ny regn	De fleste, der får lungekræft, er storrygere med et forbrug på mere end 15 cigaretter om dagen	same_sense	1147	sb.	forbrug	(33, 40)	forbrug	(52, 59)	1
forbruger	De fleste danske forbrugere betragter danske varer som kvalitetsprodukter	Miljørigtige produkter markeres med en skov af symboler. Hvordan skal forbrugeren kunne vælge det rette?	same_sense	1148	sb.	forbrugere	(17, 27)	forbrugeren	(70, 81)	1
forbryder	I alt bygges der 10 flugtsikre celler .. hvor farlige forbrydere kan sikres under varetægtsfængsel	forbryderne var forsvundet med alt sølvtøj samt andre let omsættelige værdigenstande	same_sense	1149	sb.	forbrydere	(54, 64)	forbryderne	(0, 11)	1
forbud	Jeg er .. ikke tilhænger af ideer om generelt forbud mod alkohol på arbejdspladsen	Vi har fået forbud mod at udtale os direkte til pressen	same_sense	1150	sb.	forbud	(46, 52)	forbud	(12, 18)	1
forbøn	Der findes mange fine, kristne mennesker, der talrige gange har modtaget forbøn uden at blive helbredt	På sin gamle mors forbøn, blev han dog løsladt efter halvandet år	same_sense	1153	sb.	forbøn	(73, 79)	forbøn	(18, 24)	1
fordel	Der er den fordel ved at arbejde derhjemme, at man så selv kan bestemme, hvornår man vil arbejde	Bikuben Plus Klub giver dig fordele, du ikke kan få i noget andet dansk pengeinstitut	same_sense	1154	sb.	fordel	(11, 17)	fordele	(28, 35)	1
forespørgsel	Banken oplyser rentesatser .. ved skiltning i bankens ekspeditionslokale eller på forespørgsel fra kunden	Vi har fået mange forespørgsler på denne te	same_sense	1157	sb.	forespørgsel	(82, 94)	forespørgsler	(18, 31)	1
forfald	Det påhviler .. kursusstedet at give meddelelse til amtet, hvis kursisten ophører med undervisningen uden lovligt forfald	når sønnen Filip har forfald, træder Søren til som kirkesanger	same_sense	1158	sb.	forfald	(114, 121)	forfald	(21, 28)	1
forfatter	En forfatter er 3-4 år om at skrive en god roman	Blandt forfatterne til rapporten er fysikere fra universiteterne Harvard, Columbia, Stanford, Illinois og Washington	same_sense	1159	sb.	forfatter	(3, 12)	forfatterne	(7, 18)	1
forfører	Operaen blev uropført i 1878 og handler om forføreren Don Giovanni, der erobrer den ene kvinde efter den anden — ivrigt og med en kold ligegyldighed	det er en historie om kønnenes kamp, om forførerens og den forførtes skæbne	same_sense	1160	sb.	forføreren	(43, 53)	forførerens	(40, 51)	1
forkvinde	vi må have en forening med love og vedtægter og en formand eller en forkvinde og hovedbestyrelse og så videre	Hun var i en årrække forkvinde for Dansk Kvindesamfund og samtidig administrativ leder på stor københavnsk skole	same_sense	1166	sb.	forkvinde	(68, 77)	forkvinde	(21, 30)	1
forladelse	far er en stædig stivnakke, og jeg vil ikke være den første, der beder om forladelse!	dette er mit blod, pagtens blod, som udgydes for mange til syndernes forladelse	same_sense	1169	sb.	forladelse	(74, 84)	forladelse	(69, 79)	1
forlovelse	Engang var det kutyme, at en forlovelse skulle følges af et bryllup inden for et år	Først skulle de giftes, så brød de forlovelsen. Så skulle de giftes igen, og alligevel sagde rygterne, at parret var i krise	same_sense	1170	sb.	forlovelse	(29, 39)	forlovelsen	(35, 46)	1
formand	Hun er formand for en 11 mand stor styregruppe, der er nedsat af forskellige folk fra turistbranchen	Som formand for den lokale jagtforening er han naturligvis interesseret i at bevare levevilkår for vilde dyr og planter	same_sense	1176	sb.	formand	(7, 14)	formand	(4, 11)	1
formiddag	Jeg tror jeg vil bruge formiddagen til at pudse vinduer indvendig	Hele formiddagen var huset fyldt af kaffedrikkende gæster, der kom for at ønske tillykke	same_sense	1179	sb.	formiddagen	(23, 34)	formiddagen	(5, 16)	1
fornavn	Fru Markussen hedder Ulla til fornavn	Lærerne siger de gudhjælpemig du til og kalder dem ved fornavn	same_sense	1180	sb.	fornavn	(30, 37)	fornavn	(55, 62)	1
fornuft	Descartes fastslår, at man skal tvivle på alt, og at man udelukkende skal tro på sig selv og sin sunde fornuft	kærlighed .. er i os alle som en mulighed, der bryder alle fornuftens grænser	same_sense	1181	sb.	fornuft	(103, 110)	fornuftens	(59, 69)	1
fornuftsvæsen	ude mellem stjernerne må der være talrige fornuftsvæsener	det kunne jo også være, at man både verbalt og skriftligt foretrækker at blive tiltalt som et voksent fornuftsvæsen	same_sense	1187	sb.	fornuftsvæsener	(42, 57)	fornuftsvæsen	(102, 115)	1
forsamling	hun havde alt for mange nerver til at optræde for større forsamlinger	§ 9. Generalforsamlingen ledes af en af forsamlingen valgt dirigent og er beslutningsdygtig uanset de fremmødte medlemmers antal	same_sense	1188	sb.	forsamlinger	(57, 69)	forsamlingen	(12, 24)	1
forstadskommune	Fie bor i en lys, lejet lejlighed i et nybyggeri i en forstadskommune til København	Solrød er en forstadskommune til København, men man kan også sige, at vi er en forstadskommune til Køge, siger borgmesteren	same_sense	1189	sb.	forstadskommune	(54, 69)	forstadskommune	(13, 28)	1
fortjenstmedalje	Han afsluttede sin udsendelse med en stribe fortjenstmedaljer for mod og livreddende lederskab	jeg .. skulle op på slottet i København og sige tak for dronning Margrethes fortjenstmedalje i sølv for lang og tro tjeneste	same_sense	1190	sb.	fortjenstmedaljer	(44, 61)	fortjenstmedalje	(76, 92)	1
fortrydelsespille	Der var engang, hvor jeg tænkte i situationen: Jeg tager bare en fortrydelsespille i morgen	Overordnet kan man sige, at fortrydelsespiller er en nødløsning, hvilket navnet nødprævention, som de også kaldes, indikerer	same_sense	1193	sb.	fortrydelsespille	(65, 82)	fortrydelsespiller	(28, 46)	1
forudsigelse	stik imod alle forudsigelser er Debbie og hendes mand, Paul, i dag forældre til en lille pige	Davids salme 22 i Det gamle Testamente .. beskriver en lidelse med mange paralleller til korsfæstelsen og opfattes som en forudsigelse	same_sense	1199	sb.	forudsigelser	(15, 28)	forudsigelse	(122, 134)	1
forum	Erhvervspolitisk udvalg er det forum, i hvilket aktuelle industripolitiske emner drøftes og vurderes	Manden med de tykke venner har rejst sig i et forum af halvandet hundrede mennesker på en kommuneskole på Upper West Side	same_sense	1200	sb.	forum	(31, 36)	forum	(46, 51)	1
forvandling	I øjeblikket erklærer Odense sig under forvandling fra stor by til storby. Man vil vise, at man har format	Under modningen undergår osten en større forvandling, der skyldes en lang række enzymer og mikroorganismer	same_sense	1201	sb.	forvandling	(39, 50)	forvandling	(41, 52)	1
forvandlingsstraf	Forvandlingsstraffen er ti dages fængsel, som altså kun udløses, hvis han ikke betaler bøderne	Hvis tillægsbøden på 275.000 kroner ikke bliver betalt, hænger en forvandlingsstraf på 20 dages fængsel over hovedet på den dømte	same_sense	1207	sb.	Forvandlingsstraffen	(0, 20)	forvandlingsstraf	(66, 83)	1
forventning	Juline strålede af forventning, men Melissa havde en betænkelig mine på	man har forventninger om 2-300 daglige besøgende i sommersæsonen	same_sense	1210	sb.	forventning	(19, 30)	forventninger	(8, 21)	1
forældre	Når man flytter hjemmefra, er det en omvæltning både for en selv og forældrene	Flere og flere forældre fravælger folkeskolen til fordel for friskoler eller privatskoler	same_sense	1213	sb. pl.	forældrene	(68, 78)	forældre	(15, 23)	1
fotografiapparat	I 50'erne blev det mere almindeligt, at man kunne købe et teknisk godt fotografiapparat inden for en overkommelig økonomisk ramme	Efter 54 års produktion af kameraer har den japanske fabrik Canon netop passeret fremstillingen af fotografiapparat nummer 60 millioner! Kameraeventyret begyndte i 1933	same_sense	1216	sb.	fotografiapparat	(71, 87)	fotografiapparat	(99, 115)	1
fotohandler	At købe film er i høj grad et spørgsmål om tillid mellem kunde og fotohandler	Freddie Schou blev udlært i en tid, hvor fotohandleren var iført kittel i mørkekammeret, og hvor billedets kvalitet bl.a. afhang af bearbejdningen af filmen i fremkalder- og fixervæske	same_sense	1219	sb.	fotohandler	(66, 77)	fotohandleren	(41, 54)	1
fragilité	Læg bundene sammen med en god creme og drys flormelis ovenpå, så er det fragilité, især hvis man har iblandet marengsdejen en håndfuld mandelsplinter inden bagningen	Ved serveringen toppes de små, firkantede fragiliteer med rå ribs, og det er den detalje, som gør kagen til en nordisk specialitet og ikke en sydlandsk	same_sense	1220	sb.	fragilité	(72, 81)	fragiliteer	(42, 53)	1
franskmand	Det vigtigste for franskmændene er at sikre, at EF bliver i stand til at tage initiativer	Jeg har vanskeligt ved at vænne mig til, at franskmænd hilser på hinanden ved at kysse hinanden skiftevis på hver kind 4 gange	same_sense	1223	sb.	franskmændene	(18, 31)	franskmænd	(44, 54)	1
fremmedfrygt	Jo længere vi fjerner os fra Anden Verdenskrig, jo mere glemmer vi, hvad racisme, chauvinisme og fremmedfrygt gør ved os	Hvis vi skal gøre noget ved fremmedfrygten, må vi skubbe til tankemønstrene, siger han	same_sense	1224	sb.	fremmedfrygt	(97, 109)	fremmedfrygten	(28, 42)	1
fremmedlegeme	Tårernes opgave er at rense øjet for fremmedlegemer og beskytte det mod udtørring	Huset er ikke placeret som et fremmedlegeme oven på landskabet, men som en del af det, bygget ind som det er i en klit	same_sense	1230	sb.	fremmedlegemer	(37, 51)	fremmedlegeme	(30, 43)	1
fremskridt	Tekniske fremskridt har givet os vor rigdom, vor velfærd	Luciano Pavarotti gjorde gode fremskridt som sanger	same_sense	1231	sb.	fremskridt	(9, 19)	fremskridt	(30, 40)	1
fremspring	Med fingrene klamrer han sig til det mindste hul eller fremspring i muren	Dernede mellem to fremspring havde naturen dannet en havn	same_sense	1232	sb.	fremspring	(55, 65)	fremspring	(18, 28)	1
frier	Det er efterhånden mange år siden, at det var brudens far, der var den første, frieren kom til for at anmode om brudens hånd. Og i dag er det faktisk ikke usædvanligt, at det er kvinden, der frier til sin kæreste	prinsesse Turandot, får hugget hovedet af flere friere, før hun endelig overgiver sig til prins Calaf's kærlighed	same_sense	1233	sb.	frieren	(79, 86)	friere	(48, 54)	1
frihandel	Jeg er stor tilhænger af international frihandel, som er noget, vi alle profiterer af, og ikke kun den rige verden	Jeg er bekymret for, om fremskridtene for frihandlen fortsætter — uanset hvem der bliver præsident i USA	same_sense	1236	sb.	frihandel	(39, 48)	frihandlen	(42, 52)	1
frihedskæmper	Harry var frihedskæmper og blev taget af tyskerne, men kom hjem igen	Gidseltagninger og røverier er velkendte finansieringskilder for terrorister og frihedskæmpere verden over	same_sense	1242	sb.	frihedskæmper	(10, 23)	frihedskæmpere	(80, 94)	1
friland	Squash kan sås på friland 1. maj, men det vil være en stor fordel at så inde i drivhuse, drivbænk eller i et vindue 15. april	Alle vore dyr går året rundt på friland og har adgang til læskure og hytter	same_sense	1243	sb.	friland	(18, 25)	friland	(32, 39)	1
fugl	Skoven var fuld af fugle. De kvidrede og sang omkring os	Melvin sprang op af lænestolen og kiggede på fuglene, der fløj rundt ude i haven	same_sense	1244	sb.	fugle	(19, 24)	fuglene	(45, 52)	1
fugleskræmsel	et vindblæst fugleskræmsel vogtede over bærbuskene bag gårdbutikken, hvor julemarkedet holdes	Når marken er helt nysået, holder fugleskræmslet de værste fugleflokke på afstand	same_sense	1245	sb.	fugleskræmsel	(13, 26)	fugleskræmslet	(34, 48)	1
fure	Der havde dannet sig en bekymret lodret fure mellem øjenbrynene	en svensk bajonet havde flænget bukserne og trukket en dyb fure i låret	same_sense	1248	sb.	fure	(40, 44)	fure	(59, 63)	1
fæ	tro ikke, at Juliane Marie var et fæ. Hun udviklede sig til en mester i intrigens kunst	Dit fæ, siger min søster. Du véd da at kvinder bløder. Det har du vel hørt!	same_sense	1249	sb.	fæ	(34, 36)	fæ	(4, 6)	1
fædreland	[det fælles] værdigrundlag samlede sig om begreberne Gud, konge og fædreland	I Grundtvigs fædreland burde vi vide, at det er indstillingen, sindet, ånden, det kommer an på, og ikke kostbare formelle uddannelseskrav	same_sense	1250	sb.	fædreland	(67, 76)	fædreland	(13, 22)	1
færdselsåre	Lindum mener, at motorveje er de indiskutabelt sikreste færdselsårer	Rhinen er stadig den travle og pulserende færdselsåre	same_sense	1251	sb.	færdselsårer	(56, 68)	færdselsåre	(42, 53)	1
føde	Rørhønen kan ikke finde føde nok ad naturlig vej i frostvejr, så den dør af sult, hvis den vante fodring pludselig hører op	Mennesket kan undvære føde i flere dage, men kun vand i få dage	same_sense	1252	sb.	føde	(24, 28)	føde	(22, 26)	1
fødelinje	Specielt seminariet i Kerteminde er en fødelinje til de frie skoler	Ifølge ham vil stambus-nettet blive en fødelinje til og fra Metroen	same_sense	1253	sb.	fødelinje	(39, 48)	fødelinje	(39, 48)	1
fødemiddel	Hvis jeg kun havde ét fødemiddel, tror jeg, jeg ville vælge kartofler, fordi de smager godt og er sunde	Hasselnødder er ganske enkelt den danske naturs snildeste fødemiddel. Simpelthen guld for alle "lavere jægere og samlere" i oldtid, fortid og nutid	same_sense	1254	sb.	fødemiddel	(22, 32)	fødemiddel	(58, 68)	1
fødselsforberedelse	fødselsforberedelse er nødvendigt for at undgå unødvendige og potentielt skadelige indgreb og komplicerede fødsler	Da jeg fik min søn, var jeg alene om det og havde en veninde med til fødselsforberedelse	same_sense	1255	sb.	fødselsforberedelse	(0, 19)	fødselsforberedelse	(69, 88)	1
følge	Sidste år døde 188 narkomaner som følge af overdosis	Barsebäck skal lukkes hurtigst muligt, da et uheld kan få katastrofale følger for Danmark	same_sense	1265	sb.	følge	(34, 39)	følger	(71, 77)	1
følger	De bedste e-sportsudøvere tjener millioner om året og har hundredtusindvis af følgere på sociale medier	LandboNords KvægRådgivning har netop rundet et skarpt hjørne på Facebook med følger nummer 1.000	same_sense	1268	sb.	følgere	(78, 85)	følger	(77, 83)	1
følgesvend	jeg har selv haft en labrador som følgesvend i 11 år	Angsten var Kafkas følgesvend livet igennem	same_sense	1271	sb.	følgesvend	(34, 44)	følgesvend	(19, 29)	1
får	Nordboerne havde også får og geder. Fra fårene fik man uld til klæder	fårene bræger af irritation over deres spændte bryster	same_sense	1272	sb.	får	(22, 25)	fårene	(0, 6)	1
fåresyge	fåresyge [er] nok den mindst smitsomme af børnesygdommene	Fåresyge kan hos mænd give smertefuld betændelse i testiklerne, og der er risiko for sterilitet	same_sense	1273	sb.	fåresyge	(0, 8)	Fåresyge	(0, 8)	1
gade	Frederiksberg Allé .. er en stærkt befærdet gade, hvor de pæne borgere lufter hunde og strømmer til, for at besøge de mange teatre	forældrene må også selv forklare børnene om faremomenterne i trafikken, lære dem at gå over en gade, vise dem fodgængerovergange ..	same_sense	1274	sb.	gade	(44, 48)	gade	(95, 99)	1
gambe	Gamben blev — på grund af dens mange nuancer — anset for at være det instrument, der kom den menneskelige stemme nærmest	hun blev bakket nænsomt op af orkestrets sprøde barokinstrumenter med cembalo, gambe, harpe, lut og lyse strygere	same_sense	1280	sb.	Gamben	(0, 6)	gambe	(79, 84)	1
gardin	Der var to hold gardiner for hvert vindue, de gennemsigtige og dem af mørkegrøn velour	Han skiller gardinerne og kikker ud	same_sense	1286	sb.	gardiner	(16, 24)	gardinerne	(12, 22)	1
gartner	Danske gartnere producerer op til 24. december omkring 12 millioner julestjerner	Gartner Møller passede haven, rev rosenbedene og klippede vildskud af dem med kyndig hånd	same_sense	1287	sb.	gartnere	(7, 15)	Gartner	(0, 7)	1
gavn	De endeløse taktiske tovtrækkerier mellem partier .. drejer sig ofte om helt andre hensyn end folkets gavn	Jeg giver mig selv fuldt ud .. fordi jeg ved, det kan komme mig til gavn i min senere karriere	same_sense	1288	sb.	gavn	(102, 106)	gavn	(68, 72)	1
gazelle	Ude i dalen sås de græssende gazeller .. med deres elegante bevægelser og yndefuldt svungne horn	Professor Tybjærg Hansen løb så let som en gazelle op ad trapperne til mit kontor på 3. sal	same_sense	1289	sb.	gazeller	(29, 37)	gazelle	(43, 50)	1
generaladvokat	EU-Domstolen er ikke bundet af generaladvokatens indstilling, men må forventes at følge denne	I februar vurderede EU-Kommissionens generaladvokat, at Polens fortsatte træfældning i urskoven er en klar overtrædelse af EU's naturlove	same_sense	1290	sb.	generaladvokatens	(31, 48)	generaladvokat	(37, 51)	1
gennemslagskraft	Samfundets udvikling og fornyelse kræver ledere med personlig udstråling og gennemslagskraft	Modestoffer og design har en særlig gennemslagskraft	same_sense	1293	sb.	gennemslagskraft	(76, 92)	gennemslagskraft	(36, 52)	1
gensyn	Ved gensynet glimter det fugtigt i hendes øjenkrog	Der bliver lejlighed til et nostalgisk gensyn med en perlerække af historiske racere når Jyllandsringen kører 25-års jubilæumsrace	same_sense	1294	sb.	gensynet	(4, 12)	gensyn	(39, 45)	1
gesjæft	jeg troede at den geschæft [: prostitution] var international	Den gamle havde tømrerforretning her .. jeg var jo uddannet tømrer og nu har jeg overtaget gesjæften	same_sense	1295	sb.	geschæft	(18, 26)	gesjæften	(91, 100)	1
gigabyte	Vi uploader og uploader, fylder millioner af gigabytes på internettet	Den gennemsnitlige datatrafik pr. smartphone ligger nu på 11,4 gigabyte om måneden	same_sense	1296	sb.	gigabytes	(45, 54)	gigabyte	(63, 71)	1
girokonto	Kommunalt ansatte kan ikke kræve at få deres løn udbetalt kontant. De får kun deres løn, hvis de har oprettet en bank- eller en girokonto, som kommunen kan sætte pengene ind på	Danskernes lyst til at sige tillykke til hinanden eller forlænge festen med en hilsen gennem radioens Giro 413 er atter tiltagende, og det kan mærkes på pengetilstrømningen til landets nok mest kendte girokonto	same_sense	1302	sb.	girokonto	(128, 137)	girokonto	(201, 210)	1
girokort	Nogle anvender stadig girokort, men vi prøver ihærdigt at overbevise dem om, hvor dyrt de betaler for det, og at det er en bedre idé at oprette en betalingsaftale i banken	De fleste bilister har været i den ærgerlige situation, at der hænger et girokort og blafrer i vinduesviskeren, når man vender tilbage til sin bil efter en tvivlsom parkering	same_sense	1308	sb.	girokort	(22, 30)	girokort	(73, 81)	1
glæde	Da jeg slog øjnene op var min første følelse: glæde over at være hjemme	Hendes eneste glæde efterhånden er brevene, hun får fra sin elskede hver dag	same_sense	1314	sb.	glæde	(46, 51)	glæde	(14, 19)	1
glødelampe	Ventilationsanlægget skal udskiftes, og de gamle glødelamper skal også erstattes af mere miljørigtigt lys	Glødelamper: De gammelkendte pærer. Giver et godt, blødt og fuldfarvet lys, som har alle nuancer med	same_sense	1315	sb.	glødelamper	(49, 60)	Glødelamper	(0, 11)	1
godsejer	godsejer Birgitte har kæmpet for at finde nye forretningsmåder, så godset kan blive i familien. I dag har godset både klatrebane og vindmøller	mange godsejere driver stadig deres godser som jagtslotte for millionærer udefra, og det bidrager ikke meget til lokalsamfundet	same_sense	1321	sb.	godsejer	(0, 8)	godsejere	(6, 15)	1
g-punkt	Meningerne om G-punktet, dets tilstedeværelse og funktion er stadig delte	Selvom stimulering af G-punktet udløser intense vaginale orgasmer hos nogle kvinder, har der hidtil kun været sparsomme beviser for punktets eksistens	same_sense	1331	sb.	G-punktet	(14, 23)	G-punktet	(22, 31)	1
graffiti	Jeg husker en graffiti i indre København for godt 12 år siden: Farvelfærd!	Graffiti er moderne folkekunst	same_sense	1332	sb.	graffiti	(14, 22)	Graffiti	(0, 8)	1
grafolog	En grafolog vil kunne fortælle noget om din personlighed, blandt andet at skrifthældningen tyder på, at du er mere indadvendt end udadvendt	jeg ville gerne høre en skriftklog grafologs mening om disse skriblerier som underskrift	same_sense	1333	sb.	grafolog	(3, 11)	grafologs	(35, 44)	1
gransker	[folkemindeforskeren] betragtede sig selv som et skrivende mellemled mellem de gamle fortællere og den videnskabelige gransker	Lad os håbe, at statsministeren bliver klogere, når granskeren har vendt hver sten i den vide verden og fortalt, hvordan [alting] hænger sammen	same_sense	1343	sb.	gransker	(118, 126)	granskeren	(52, 62)	1
gratulation	Jeg har i dag fået 20-25 gratulationer på sms og mail fra hele verden	gratulationerne begyndte at vælte ind i form af krammere, begejstring og lykønskninger	same_sense	1353	sb.	gratulationer	(25, 38)	gratulationerne	(0, 15)	1
grimasse	Ole lod til at tænke sig lidt om og skar så en ærgerlig grimasse	nogle blandt publikum griner af situationen, mens andre er mere stive i grimasserne	same_sense	1363	sb.	grimasse	(56, 64)	grimasserne	(72, 83)	1
grokraft	Dette kosttilskud plejer at give håret fylde og grokraft i løbet af et par måneder	Nu begynder håbet igen at få grokraft	same_sense	1373	sb.	grokraft	(48, 56)	grokraft	(29, 37)	1
græs	Jeg elsker at gå barbenet på grønt græs	han måtte længere og længere væk for at finde brugbar græsning til køerne. Græsset var gult og groede ikke	same_sense	1374	sb.	græs	(35, 39)	Græsset	(75, 82)	1
græsenke	Charlotte er trods sine kun 18 år allerede græsenke, da hendes kæreste gennem to måneder er soldat og er udstationeret i Jylland	Græsenkerne fortæller om de udfordringer, der opstår i et langdistanceforhold, med krig som afstandens afgrund	same_sense	1384	sb.	græsenke	(43, 51)	Græsenkerne	(0, 11)	1
grønlænder	Tusinder af grønlændere har tilbragt år og liv i Danmark; cirka 15.000 grønlændere bor i dag i Danmark. Det betyder meget mere, end vi umiddelbart aner	I sin ungdoms dagbøger skriver Knud Rasmussen om splittelsen mellem grønlænderen og danskeren i sit sind	same_sense	1390	sb.	grønlændere	(12, 23)	grønlænderen	(68, 80)	1
grøntsag	Menuen bestod af kalkun med grønsager og flødesovs	grøntsager .. er fulde af vitaminer, fibre og de langsomme kulhydrater, som vi skal have mange af	same_sense	1400	sb.	grønsager	(28, 37)	grøntsager	(0, 10)	1
g-streng	Ude i verden er salget af trusser med g-streng styrtdykket, for kvinderne gider ikke mere besværlige g-strenge og stramme bøjle-bh'er	hun var smuk og forførende i G-streng	same_sense	1401	sb.	g-streng	(38, 46)	G-streng	(29, 37)	1
guano	Inka-indianernes økonomi var baseret på landbrug [og] der blev i udstrakt grad anvendt kunstvanding og gødning med guano	Vi radiomærkede et stort antal af to arter flagermus, så vi kunne følge deres færden, og samlede desuden guano, som vi dna-analyserede	same_sense	1402	sb.	guano	(115, 120)	guano	(105, 110)	1
gudstjeneste	al den megen snak om, at bare man laver om på gudstjenesten, så strømmer folk til kirke, har jeg ikke meget tilovers for	Hver sabbat er der gudstjeneste i synagogen. Man beder til Gud og synger salmer	same_sense	1412	sb.	gudstjenesten	(46, 59)	gudstjeneste	(19, 31)	1
gudstro	Han var konservativ af natur, præget af en stærk familiefølelse og en ikke mindre stærk gudstro	Jeg kan godt blive højstemt uden af den grund at forfalde til egentlig gudstro. Måske det er alderen, der trykker	same_sense	1413	sb.	gudstro	(88, 95)	gudstro	(71, 78)	1
guerilla	De op imod 120.000 sovjetiske soldater formåede ikke at besejre guerillaen [: i Afghanistan]	De Røde Khmerers radio sagde lørdag, at guerillaerne forbereder et nyt angreb på provinshovedstaden	same_sense	1428	sb.	guerillaen	(64, 74)	guerillaerne	(40, 52)	1
gunst	Nærradioerne, kristne græsrødder, politiske partier og mange andre kæmper om lytternes gunst	Han er håbløst forelsket i en af klassens piger uden chance for at vinde hendes gunst	same_sense	1429	sb.	gunst	(87, 92)	gunst	(80, 85)	1
gut	Vi spiller for at vinde, men samtidig er det dejligt at møde gutterne og mindes de gode, gamle dage	Han er en glad og nem gut, så han er ikke ked af at blive afleveret [: i dagplejen]	same_sense	1430	sb.	gutterne	(61, 69)	gut	(22, 25)	1
gær	Gæren smuldres i dejfadet og udrøres med lunkent vand	Almindelig gær er .. i dag en hyppigt anvendt værtsorganisme inden for genteknologien	same_sense	1431	sb.	Gæren	(0, 5)	gær	(11, 14)	1
gårdhave	Jeg bor i en toværelses lejlighed med gårdhave	Kroen har en hyggelig gårdhave med servering	same_sense	1432	sb.	gårdhave	(38, 46)	gårdhave	(22, 30)	1
gårdvagt	Det eneste, der kunne forcere plankeværket, var halvspiste madpakker, som blev kylet over, når gårdvagten så i den anden retning	Matematiklæreren har gårdvagt	same_sense	1433	sb.	gårdvagten	(95, 105)	gårdvagt	(21, 29)	1
halalhippie	Det gavner reelt ikke flygtninge og indvandrere at gøres til ofre eller at halalhippier råber racist efter alle, der påpeger problemer med integrationen	det bliver for latterligt, når man enten skal være i den ene lidt overfyldte grøft med strammere, eller også skal man være i halalhippiens ringhjørne	same_sense	1434	sb.	halalhippier	(75, 87)	halalhippiens	(125, 138)	1
halsbetændelse	Tegn på en lettere halsbetændelse kan være det første symptom ved mange infektionssygdomme	Halsbetændelse er en infektion i mandlerne — i modsætning til halskatar, der er en infektion i halsens slimhinde	same_sense	1435	sb.	halsbetændelse	(19, 33)	Halsbetændelse	(0, 14)	1
halskatar	Den hyppigste årsag til hoste er lidt halskatar	Ca. fire dage efter smitten får barnet snue og halskatar, efterhånden begynder det at hoste og nyse, og der kommer feber	same_sense	1436	sb.	halskatar	(38, 47)	halskatar	(47, 56)	1
handske	Selv om vejret er mildt denne oktoberdag, fryser han lidt om hænderne. Hvorfor fanden glemte han at tage handsker på?	gang på gang skulle [officersfamilierne] i fine messeuniformer og lange kjoler og lange hvide handsker	same_sense	1439	sb.	handsker	(105, 113)	handsker	(94, 102)	1
hang	Pia har samfundsfag på højt niveau hvilket hun valgte pga. sin hang til politiske diskussioner	Vævning, knipling, stoftryk, dukker .. er nogle af de mange spændende kurser for folk med hang til stoffer	same_sense	1449	sb.	hang	(63, 67)	hang	(90, 94)	1
hankat	hos den kønsmodne hankat kan man se testiklerne som to runde kugler under endetarmsåbningen	De to åbenlyse fjender hvæsede af hinanden som to hankatte	same_sense	1450	sb.	hankat	(18, 24)	hankatte	(50, 58)	1
hankøn	De to hvalpe, begge hankøn, stimulerede ikke umiddelbart moderkærligheden hos "Chess"	kvinderne er begyndt at hale ind på mændene på de poster og i de stillinger, der engang var forbeholdt mennesker af hankøn	same_sense	1451	sb.	hankøn	(20, 26)	hankøn	(116, 122)	1
