idx	target	pos	first_context	first_word	first_position	second_context	second_word	second_position	label
1148	blok	sb.	Miriam cyklede over mod den 12-etagers blok, hvor Mulle boede	blok	(39, 43)	Reklamerne skal sendes i blokke mellem udsendelserne	blokke	(25, 31)	different_sense
1166	blomst	sb.	Der voksede grønt græs, og bierne summede af sted i solskinnet fra blomst til blomst	blomst	(67, 73)	Han havde været oppe hos gamle fru Aldermann med blomster og en flaske solbærlikør	blomster	(49, 57)	same_sense
1159	blomst	sb.	De 10-20 cm høje stængler [: på vintergæk] bærer graciøst en enkelt nikkende, hvid blomst	blomst	(83, 89)	Der voksede grønt græs, og bierne summede af sted i solskinnet fra blomst til blomst	blomst	(67, 73)	same_sense
1168	blomst	sb.	Pærerne skrælles og halveres, og stilk, blomst og kernehus fjernes	blomst	(40, 46)	Liljekonval er forsommerens smukkeste vilde blomst	blomst	(44, 50)	same_sense
1179	blomst	sb.	Vi plejer at give hinanden en blomst eller en æske chokolade, men i dag var der 3 pakker og en blomst	blomst	(30, 36)	Det var en nydelig jakke med brune og rosa blomster på lilla bund	blomster	(43, 51)	different_sense
1175	blomst	sb.	Der voksede grønt græs, og bierne summede af sted i solskinnet fra blomst til blomst	blomst	(67, 73)	Det var en nydelig jakke med brune og rosa blomster på lilla bund	blomster	(43, 51)	different_sense
1177	blomst	sb.	Liljekonval er forsommerens smukkeste vilde blomst	blomst	(44, 50)	Det var en nydelig jakke med brune og rosa blomster på lilla bund	blomster	(43, 51)	different_sense
1180	bly	sb.	Tårnets pyramidespir og hele kirken i øvrigt er tækket med bly	bly	(59, 62)	Hendes ben føltes tunge som bly. Det gik alt for langsomt	bly	(28, 31)	same_sense
1184	bly	sb.	Hendes ben føltes tunge som bly. Det gik alt for langsomt	bly	(28, 31)	"Hans seneste udspil er action-komedien ""Du Skyder, Jeg Smiler"", hvor .. publikum får æren af at se hans bare bagdel — fyldt med bly"	bly	(128, 131)	different_sense
1181	bly	sb.	Tårnets pyramidespir og hele kirken i øvrigt er tækket med bly	bly	(59, 62)	Bly findes ikke naturligt i benzin, men tilsættes for at hæve oktantallet	Bly	(0, 3)	different_sense
1182	bly	sb.	Hendes ben føltes tunge som bly. Det gik alt for langsomt	bly	(28, 31)	Bly findes ikke naturligt i benzin, men tilsættes for at hæve oktantallet	Bly	(0, 3)	different_sense
1186	blæser	sb.	Stykket blev uropført af Symfoniorkestrets dygtige blæsere	blæsere	(51, 58)	Min elektriske skrivemaskine har en blæser, som køler	blæser	(36, 42)	different_sense
1187	bo	sb.	da boet efter forfatteren var gjort op, var der ikke andet end gæld	boet	(3, 7)	Ved konkursen skyldte Ungbo mindst 44,1 mill. kr., men underskuddet kan vise sig at blive meget større, når boet gøres endeligt op	boet	(108, 112)	same_sense
1188	bo	sb.	Termitterne bygger deres bo af simple materialer, nemlig jord blandet op med spyt og ekskrementer	bo	(25, 27)	Sanglærker tør ikke sætte bo nær træer, der er bekvemme udkigsposter for krager	bo	(26, 28)	same_sense
1192	bo	sb.	Ved konkursen skyldte Ungbo mindst 44,1 mill. kr., men underskuddet kan vise sig at blive meget større, når boet gøres endeligt op	boet	(108, 112)	Sanglærker tør ikke sætte bo nær træer, der er bekvemme udkigsposter for krager	bo	(26, 28)	different_sense
1189	bo	sb.	da boet efter forfatteren var gjort op, var der ikke andet end gæld	boet	(3, 7)	Termitterne bygger deres bo af simple materialer, nemlig jord blandet op med spyt og ekskrementer	bo	(25, 27)	different_sense
1191	bo	sb.	Ved konkursen skyldte Ungbo mindst 44,1 mill. kr., men underskuddet kan vise sig at blive meget større, når boet gøres endeligt op	boet	(108, 112)	Termitterne bygger deres bo af simple materialer, nemlig jord blandet op med spyt og ekskrementer	bo	(25, 27)	different_sense
1196	boble	sb.	Det tog ca. seks år at bygge en boble op og lige så lang tid at få den afviklet i USA	boble	(32, 37)	prisen på penge er et spørgsmål om udbud og efterspørgsel. Man kan få højt afkast, eller man kan få stor sikkerhed, og hvis de muligheder optræder samtidig, er der sandsynligvis tale om en boble, der vil briste	boble	(189, 194)	same_sense
1194	boble	sb.	Vi er på vej ind i endnu en finansiel boble: Den grønne boble. Politikerne kaster gratis penge og gratis risiko i grams i form af garantier for grøn energi og teknologi	boble	(38, 43)	Det tog ca. seks år at bygge en boble op og lige så lang tid at få den afviklet i USA	boble	(32, 37)	same_sense
1195	boble	sb.	Vi er på vej ind i endnu en finansiel boble: Den grønne boble. Politikerne kaster gratis penge og gratis risiko i grams i form af garantier for grøn energi og teknologi	boble	(38, 43)	prisen på penge er et spørgsmål om udbud og efterspørgsel. Man kan få højt afkast, eller man kan få stor sikkerhed, og hvis de muligheder optræder samtidig, er der sandsynligvis tale om en boble, der vil briste	boble	(189, 194)	same_sense
1216	boble	sb.	Sæt et glas bobler til, og den perfekte forret er hjemme	bobler	(12, 18)	[de] små drenge løb omkring i gården på Kabbelejevej under syrenerne, i en boble af tryghed	boble	(75, 80)	different_sense
1208	boble	sb.	Den nuværende boble over svømmebadet .. er utæt og holder formentlig ikke ret længe	boble	(14, 19)	prisen på penge er et spørgsmål om udbud og efterspørgsel. Man kan få højt afkast, eller man kan få stor sikkerhed, og hvis de muligheder optræder samtidig, er der sandsynligvis tale om en boble, der vil briste	boble	(189, 194)	different_sense
1205	boble	sb.	Den nuværende boble over svømmebadet .. er utæt og holder formentlig ikke ret længe	boble	(14, 19)	At det endnu er sommer, kan passende fejres med en flaske lyserøde bobler	bobler	(67, 73)	different_sense
1244	bog	sb.	"Steen Møller læser gerne bøger på iPad'en og foretrækker at låne e-bøger fremfor at hente en god ""gammeldaws"""	bøger	(25, 30)	I 1921 fik hun udsendt sin første bog, omfattende legender og fortællinger	bog	(34, 37)	same_sense
1223	bog	sb.	Den indbundne og illustrerede bog er på 416 sider og koster 398 kr.	bog	(30, 33)	Jeg går relativt tidligt i seng. Lytter til Radioavisen kl. 18.30 og lægger mig derefter på langs og hører en engelsk bog om hekse	bog	(118, 121)	same_sense
1247	bog	sb.	Min læsehest af en datter på 14 somre foretrækker fysiske bøger, mens jeg helst vil nøjes med min gamle Kindle. Den er mindre, lettere og har mange flere bøger at vælge imellem, når jeg er på ferie og på farten	bøger	(58, 63)	Via et par klik på computeren kan du høre en bog hjemme i stuen	bog	(45, 48)	same_sense
1250	bog	sb.	Den indbundne og illustrerede bog er på 416 sider og koster 398 kr.	bog	(30, 33)	"Jeg åbnede moppedrengen: ""Første bog Kapitel 1 HJEMKOMSTEN Den 24. februar 1815 blev det meldt fra søvagttårnet i Marseille at .."""	bog	(33, 36)	different_sense
1262	bog	sb.	I 1921 fik hun udsendt sin første bog, omfattende legender og fortællinger	bog	(34, 37)	"Jeg åbnede moppedrengen: ""Første bog Kapitel 1 HJEMKOMSTEN Den 24. februar 1815 blev det meldt fra søvagttårnet i Marseille at .."""	bog	(33, 36)	different_sense
1265	bog	sb.	Via et par klik på computeren kan du høre en bog hjemme i stuen	bog	(45, 48)	Dette uendeligt smukke citat stammer fra den sidste bog i Bibelen, Johannes Åbenbaring	bog	(52, 55)	different_sense
1276	bold	sb.	Tykke Thorkil sparkede til bolden, så den trillede over mod læskuret	bolden	(27, 33)	bolden rammer målstolpen og går ind	bolden	(0, 6)	same_sense
1282	bold	sb.	bolden rammer målstolpen og går ind	bolden	(0, 6)	Det er verdens sødeste pige, og hun er tilpas skør i bolden til at være ellevild med dig	bolden	(53, 59)	different_sense
1281	bold	sb.	Tykke Thorkil sparkede til bolden, så den trillede over mod læskuret	bolden	(27, 33)	Det er verdens sødeste pige, og hun er tilpas skør i bolden til at være ellevild med dig	bolden	(53, 59)	different_sense
1279	bold	sb.	Tykke Thorkil sparkede til bolden, så den trillede over mod læskuret	bolden	(27, 33)	Solen voksede fra en lille hvid kugle til en stor orangefarvet bold, som langsomt sank ned bag bjergene	bold	(63, 67)	different_sense
1286	bolle	sb.	det er lykken at komme hjem til nybagte boller	boller	(40, 46)	"Tyrkiets grillspyd med boller af hakket kød kaldes ""köfte"""	boller	(23, 29)	different_sense
1287	bolle	sb.	det er lykken at komme hjem til nybagte boller	boller	(40, 46)	Nu skal du meget forsigtigt prikke igennem de steder på tegningen, hvor der skal være huller .. det er de store boller på tegningen	boller	(112, 118)	different_sense
1288	bolle	sb.	"Tyrkiets grillspyd med boller af hakket kød kaldes ""köfte"""	boller	(23, 29)	Nu skal du meget forsigtigt prikke igennem de steder på tegningen, hvor der skal være huller .. det er de store boller på tegningen	boller	(112, 118)	different_sense
1289	bombe	sb.	Bomben var blevet anbragt i et fælleshus, som politiet ikke havde undersøgt	Bomben	(0, 6)	"Slagskibet ""Arizona"" blev ramt af en 250 kilos bombe, kastet fra 400 meters højde"	bombe	(47, 52)	same_sense
1290	bombe	sb.	Bomben var blevet anbragt i et fælleshus, som politiet ikke havde undersøgt	Bomben	(0, 6)	vidneforklaringen var intet mindre end en bombe under politiets bevismateriale	bombe	(42, 47)	different_sense
1291	bombe	sb.	"Slagskibet ""Arizona"" blev ramt af en 250 kilos bombe, kastet fra 400 meters højde"	bombe	(47, 52)	vidneforklaringen var intet mindre end en bombe under politiets bevismateriale	bombe	(42, 47)	different_sense
1292	bomuld	sb.	Hun bar en enkel blå kjole af bomuld	bomuld	(30, 36)	i gamle dage da var et telt af bomuld, og det lignede et tag	bomuld	(31, 37)	same_sense
1293	bomuld	sb.	Hun bar en enkel blå kjole af bomuld	bomuld	(30, 36)	I midten af 1800-tallet dækkede USA ¾ af verdens forbrug af bomuld	bomuld	(60, 66)	same_sense
1294	bomuld	sb.	i gamle dage da var et telt af bomuld, og det lignede et tag	bomuld	(31, 37)	I midten af 1800-tallet dækkede USA ¾ af verdens forbrug af bomuld	bomuld	(60, 66)	same_sense
1295	bomuld	sb.	Hun bar en enkel blå kjole af bomuld	bomuld	(30, 36)	bomulden [blev] domesticeret i flere omgange både i Meso-Amerika og Syd-Amerika	bomulden	(0, 8)	different_sense
1296	bomuld	sb.	i gamle dage da var et telt af bomuld, og det lignede et tag	bomuld	(31, 37)	bomulden [blev] domesticeret i flere omgange både i Meso-Amerika og Syd-Amerika	bomulden	(0, 8)	different_sense
1297	bomuld	sb.	I midten af 1800-tallet dækkede USA ¾ af verdens forbrug af bomuld	bomuld	(60, 66)	bomulden [blev] domesticeret i flere omgange både i Meso-Amerika og Syd-Amerika	bomulden	(0, 8)	different_sense
1298	bonde	sb.	En bonde med kvæg og korn på marken var en anset mand	bonde	(3, 8)	Nutidens bonde er i dag ikke på samme måde som hans forfædre afhængig af den hårfine økologiske balance	bonde	(9, 14)	same_sense
1299	bonde	sb.	En bonde med kvæg og korn på marken var en anset mand	bonde	(3, 8)	De fleste danske nedstammer fra bønder	bønder	(32, 38)	same_sense
1300	bonde	sb.	Nutidens bonde er i dag ikke på samme måde som hans forfædre afhængig af den hårfine økologiske balance	bonde	(9, 14)	De fleste danske nedstammer fra bønder	bønder	(32, 38)	same_sense
1301	bonde	sb.	En bonde med kvæg og korn på marken var en anset mand	bonde	(3, 8)	du kom og forstyrrede os lige da Felix' sidste bonde stod på B7	bonde	(47, 52)	different_sense
1302	bonde	sb.	Nutidens bonde er i dag ikke på samme måde som hans forfædre afhængig af den hårfine økologiske balance	bonde	(9, 14)	du kom og forstyrrede os lige da Felix' sidste bonde stod på B7	bonde	(47, 52)	different_sense
1303	bonde	sb.	De fleste danske nedstammer fra bønder	bønder	(32, 38)	du kom og forstyrrede os lige da Felix' sidste bonde stod på B7	bonde	(47, 52)	different_sense
1304	bonus	sb.	Ved særlig vigtige kampe fik de ofte stillet en fed bonus i udsigt, hvis de vandt kampen	bonus	(52, 57)	Selskabet tilbyder .. en ekstra bonus til kunder, der lader deres forsikring løbe i mindst tre år	bonus	(32, 37)	same_sense
1305	bonus	sb.	Ved særlig vigtige kampe fik de ofte stillet en fed bonus i udsigt, hvis de vandt kampen	bonus	(52, 57)	elsk alt det I vil og kan, prøv at eksperimentere, det giver bonus	bonus	(61, 66)	different_sense
1306	bonus	sb.	Selskabet tilbyder .. en ekstra bonus til kunder, der lader deres forsikring løbe i mindst tre år	bonus	(32, 37)	elsk alt det I vil og kan, prøv at eksperimentere, det giver bonus	bonus	(61, 66)	different_sense
1307	bosættelse	sb.	Storbritannien har .. kritiseret Israel for at have oprettet endnu en bosættelse på Jordan-flodens vestbred	bosættelse	(70, 80)	Meget taler for, at de første bosættelser uden for Jorden anlægges som drivhuse på Mars omkring 2030	bosættelser	(30, 41)	same_sense
1308	bosættelse	sb.	hedeopdyrkning og det nye landbrug havde muliggjort en tættere bosættelse i de førhen tyndtbefolkede områder [i Jylland]	bosættelse	(63, 73)	Storbritannien har .. kritiseret Israel for at have oprettet endnu en bosættelse på Jordan-flodens vestbred	bosættelse	(70, 80)	different_sense
1309	bosættelse	sb.	hedeopdyrkning og det nye landbrug havde muliggjort en tættere bosættelse i de førhen tyndtbefolkede områder [i Jylland]	bosættelse	(63, 73)	Meget taler for, at de første bosættelser uden for Jorden anlægges som drivhuse på Mars omkring 2030	bosættelser	(30, 41)	different_sense
1310	brag	sb.	Sværvægtsopgøret .. blev ikke det store brag, man havde håbet på	brag	(40, 44)	Afløseren for Peugeot 205 og 309 bliver et brag af en bil, når den som ventet kommer til foråret	brag	(43, 47)	same_sense
1311	brag	sb.	Med ét lød der et brag bag Tue. Et stykke murværk væltede og efterlod en stor støvsky	brag	(18, 22)	Sværvægtsopgøret .. blev ikke det store brag, man havde håbet på	brag	(40, 44)	different_sense
1312	brag	sb.	Med ét lød der et brag bag Tue. Et stykke murværk væltede og efterlod en stor støvsky	brag	(18, 22)	Afløseren for Peugeot 205 og 309 bliver et brag af en bil, når den som ventet kommer til foråret	brag	(43, 47)	different_sense
1313	brandmand	sb.	kun få kvinder .. har klaret de skrappe prøver før optagelsen som brandmand m/k	brandmand	(66, 75)	Skriiig! En brandmand i vandet lige dér, hvor jeg skal springe ud!	brandmand	(12, 21)	different_sense
1314	brandslukker	sb.	vinden slog om, og når det sker, må brandslukkerne flytte vandkanoner og materiel over på den anden side af ilden	brandslukkerne	(36, 50)	IMF [har] udviklet sig mere og mere til at blive en kortsigtet brandslukker ved finanskriser	brandslukker	(63, 75)	different_sense
1315	brandslukker	sb.	vinden slog om, og når det sker, må brandslukkerne flytte vandkanoner og materiel over på den anden side af ilden	brandslukkerne	(36, 50)	Henrik griber brandslukkeren og fylder gangrummet med skum. Et par minutter efter er branden slukket	brandslukkeren	(14, 28)	different_sense
1316	brandslukker	sb.	IMF [har] udviklet sig mere og mere til at blive en kortsigtet brandslukker ved finanskriser	brandslukker	(63, 75)	Henrik griber brandslukkeren og fylder gangrummet med skum. Et par minutter efter er branden slukket	brandslukkeren	(14, 28)	different_sense
1317	bredde	sb.	Voldgraven har en bredde på 18 m, og den er 3 m dyb	bredde	(18, 24)	Vestbroens gennemsejlingshøjde bliver 18 meter med to gennemsejlingsruter i 70 meters bredde	bredde	(86, 92)	same_sense
1318	bredde	sb.	De emner og samfundsfaglige fænomener, der udgør undervisningens indhold, skal have en vis bredde	bredde	(91, 97)	[vi er] glade for bredden og rigdommen i de mange noveller og læserbreve, vi modtager	bredden	(18, 25)	same_sense
1322	bredde	sb.	Vestbroens gennemsejlingshøjde bliver 18 meter med to gennemsejlingsruter i 70 meters bredde	bredde	(86, 92)	[vi er] glade for bredden og rigdommen i de mange noveller og læserbreve, vi modtager	bredden	(18, 25)	different_sense
1321	bredde	sb.	Vestbroens gennemsejlingshøjde bliver 18 meter med to gennemsejlingsruter i 70 meters bredde	bredde	(86, 92)	De emner og samfundsfaglige fænomener, der udgør undervisningens indhold, skal have en vis bredde	bredde	(91, 97)	different_sense
1320	bredde	sb.	Voldgraven har en bredde på 18 m, og den er 3 m dyb	bredde	(18, 24)	[vi er] glade for bredden og rigdommen i de mange noveller og læserbreve, vi modtager	bredden	(18, 25)	different_sense
1327	bremse	sb.	De skal bare træde på bremsen, så sørger ABS'en for alt det, bilisten tidligere skulle huske på i en sådan situation	bremsen	(22, 29)	lokoføreren frygtede, at han også ville få de blodige rester af mennesker at se, da de hvinende bremser havde bragt hans tog til standsning	bremser	(96, 103)	same_sense
1328	bremse	sb.	De skal bare træde på bremsen, så sørger ABS'en for alt det, bilisten tidligere skulle huske på i en sådan situation	bremsen	(22, 29)	Måske havde [bilen] for meget fart på, en påkørsel af Anne var uundgåelig trods hvinende bremser	bremser	(89, 96)	same_sense
1329	bremse	sb.	lokoføreren frygtede, at han også ville få de blodige rester af mennesker at se, da de hvinende bremser havde bragt hans tog til standsning	bremser	(96, 103)	Måske havde [bilen] for meget fart på, en påkørsel af Anne var uundgåelig trods hvinende bremser	bremser	(89, 96)	same_sense
1330	bremse	sb.	De skal bare træde på bremsen, så sørger ABS'en for alt det, bilisten tidligere skulle huske på i en sådan situation	bremsen	(22, 29)	alt i alt var der tale om et budget, der viste vilje til at sætte en bremse på kommunens stadigt stigende personaleforbrug	bremse	(69, 75)	different_sense
1331	bremse	sb.	lokoføreren frygtede, at han også ville få de blodige rester af mennesker at se, da de hvinende bremser havde bragt hans tog til standsning	bremser	(96, 103)	alt i alt var der tale om et budget, der viste vilje til at sætte en bremse på kommunens stadigt stigende personaleforbrug	bremse	(69, 75)	different_sense
1332	bremse	sb.	Måske havde [bilen] for meget fart på, en påkørsel af Anne var uundgåelig trods hvinende bremser	bremser	(89, 96)	alt i alt var der tale om et budget, der viste vilje til at sætte en bremse på kommunens stadigt stigende personaleforbrug	bremse	(69, 75)	different_sense
1333	brev	sb.	Postvæsenet garanterer, at breve og brevkort, der blev afleveret senest i lørdags vil være fremme til jul	breve	(27, 32)	brev fra rådhuset med girokort til betaling af 218 kr. for byggetilladelse	brev	(0, 4)	same_sense
1334	brev	sb.	Postvæsenet garanterer, at breve og brevkort, der blev afleveret senest i lørdags vil være fremme til jul	breve	(27, 32)	Han skulle tage et pulver, der lå i et brev af sølvpapir. Et brev fem gange om dagen. Rørt ud i kogt vand	brev	(39, 43)	different_sense
1335	brev	sb.	brev fra rådhuset med girokort til betaling af 218 kr. for byggetilladelse	brev	(0, 4)	Han skulle tage et pulver, der lå i et brev af sølvpapir. Et brev fem gange om dagen. Rørt ud i kogt vand	brev	(39, 43)	different_sense
1336	briller	sb. pl.	Karen tog sine briller af og pudsede dem. Uden brillerne var verden én stor tåge	briller	(15, 22)	Jeg blev altid drillet i skolen, fordi jeg havde briller og ikke var særlig køn	briller	(49, 56)	same_sense
1337	briller	sb. pl.	Hvad man synes om det, kommer an på, hvilke briller man tager på	briller	(44, 51)	Det er en historisk beretning, vi får på skærmen, men det er historie set gennem en romanforfatters briller	briller	(100, 107)	same_sense
1338	briller	sb. pl.	Karen tog sine briller af og pudsede dem. Uden brillerne var verden én stor tåge	briller	(15, 22)	Hvad man synes om det, kommer an på, hvilke briller man tager på	briller	(44, 51)	different_sense
1339	briller	sb. pl.	Karen tog sine briller af og pudsede dem. Uden brillerne var verden én stor tåge	briller	(15, 22)	Det er en historisk beretning, vi får på skærmen, men det er historie set gennem en romanforfatters briller	briller	(100, 107)	different_sense
1340	briller	sb. pl.	Jeg blev altid drillet i skolen, fordi jeg havde briller og ikke var særlig køn	briller	(49, 56)	Hvad man synes om det, kommer an på, hvilke briller man tager på	briller	(44, 51)	different_sense
1342	bro	sb.	Drengene sidder nede på broen, hvor de venter på båden, der skal sejle dem tilbage	broen	(24, 29)	Det er skægt at springe i fra broen og dykke efter muslinger	broen	(30, 35)	same_sense
1346	bro	sb.	[Grundtvigs] ærinde er hverken åndens frigørelse eller kroppens frigørelse, men derimod åndens og kroppens vekselvirkning — med ordet som bro	bro	(138, 141)	Drengene sidder nede på broen, hvor de venter på båden, der skal sejle dem tilbage	broen	(24, 29)	different_sense
1344	bro	sb.	I marts 1936 blev der fremsat planer om en bro over Storebælt fra Korsør over Sprogø til Nyborg	bro	(43, 46)	Drengene sidder nede på broen, hvor de venter på båden, der skal sejle dem tilbage	broen	(24, 29)	different_sense
1347	bro	sb.	[Grundtvigs] ærinde er hverken åndens frigørelse eller kroppens frigørelse, men derimod åndens og kroppens vekselvirkning — med ordet som bro	bro	(138, 141)	Det er skægt at springe i fra broen og dykke efter muslinger	broen	(30, 35)	different_sense
1348	bronze	sb.	Ca. 3000 f.Kr. lærte man at blande tin i kobberet og fik herved et hårdere metal, bronze, som var lettere at støbe	bronze	(82, 88)	[cremen] Lumiere Base fås i farverne hvid, rosa, fersken og bronze	bronze	(60, 66)	different_sense
1349	brud	sb.	der var sket et brud på den del af hjulet, der fastholder toget på sporet	brud	(16, 20)	vandet [har] flydt gennem gaderne fra oversvømmede løbebrønde eller fra brud på vandledninger	brud	(72, 76)	same_sense
1350	brud	sb.	jeg har min ene fod i gips efter brud på et fodrodsben	brud	(33, 37)	man skønnede, at bruddet kunne gro sammen igen	bruddet	(17, 24)	same_sense
1355	brud	sb.	der var sket et brud på den del af hjulet, der fastholder toget på sporet	brud	(16, 20)	Det, der startede som en skoleforelskelse for ni år siden, er endt med et brud	brud	(74, 78)	different_sense
1358	brud	sb.	vandet [har] flydt gennem gaderne fra oversvømmede løbebrønde eller fra brud på vandledninger	brud	(72, 76)	At vandre gennem Billes billedverden er som at opleve det totale brud med naturalismen	brud	(65, 69)	different_sense
1369	brud	sb.	jeg har min ene fod i gips efter brud på et fodrodsben	brud	(33, 37)	Uranminer er enten åbne brud eller lukkede underjordiske miner	brud	(24, 28)	different_sense
1377	brudstykke	sb.	I gravfylden fandtes en del skaller, således mange hele østersskaller, samt enkelte flintafslag og brudstykker af dyreknogler	brudstykker	(99, 110)	min forklaring var hæmmet af at jeg kun kendte brudstykker af historien	brudstykker	(47, 58)	different_sense
1378	brug	sb.	Hornhinden er den del af øjet, som belastes mest ved brug af kontaktlinser	brug	(53, 57)	Mange romerske veje og broer er stadig i brug i dag	brug	(41, 45)	same_sense
1379	brug	sb.	Hornhinden er den del af øjet, som belastes mest ved brug af kontaktlinser	brug	(53, 57)	Tolerancen over for brug af alkohol på arbejdspladsen synes at være på retur	brug	(20, 24)	same_sense
1380	brug	sb.	Mange romerske veje og broer er stadig i brug i dag	brug	(41, 45)	Tolerancen over for brug af alkohol på arbejdspladsen synes at være på retur	brug	(20, 24)	same_sense
1381	brug	sb.	Hornhinden er den del af øjet, som belastes mest ved brug af kontaktlinser	brug	(53, 57)	Lad os få nogle flere folkeafstemninger, det er der i høj grad brug for	brug	(63, 67)	different_sense
1382	brug	sb.	Mange romerske veje og broer er stadig i brug i dag	brug	(41, 45)	Lad os få nogle flere folkeafstemninger, det er der i høj grad brug for	brug	(63, 67)	different_sense
1383	brug	sb.	Tolerancen over for brug af alkohol på arbejdspladsen synes at være på retur	brug	(20, 24)	Lad os få nogle flere folkeafstemninger, det er der i høj grad brug for	brug	(63, 67)	different_sense
1384	brusebad	sb.	Mange står i badekarret og tager brusebad	brusebad	(33, 41)	Peter vågner ved 7-tiden og går i brusebad	brusebad	(34, 42)	same_sense
1385	brusebad	sb.	Mange står i badekarret og tager brusebad	brusebad	(33, 41)	"Brusebadet er monteret med et såkaldt ""handicap-håndtag"", der afbryder det varme vand, når man sæber sig ind"	Brusebadet	(0, 10)	different_sense
1386	brusebad	sb.	Peter vågner ved 7-tiden og går i brusebad	brusebad	(34, 42)	"Brusebadet er monteret med et såkaldt ""handicap-håndtag"", der afbryder det varme vand, når man sæber sig ind"	Brusebadet	(0, 10)	different_sense
1387	bryst	sb.	Hjertet bankede i hans bryst	bryst	(23, 28)	Hun lå og lyttede til den svage rallen fra hans bryst	bryst	(48, 53)	same_sense
1388	bryst	sb.	brysterne [er hyppigt] lidt forskellige. Det ene kan ofte være lidt mindre end det andet	brysterne	(0, 9)	Jutta havde lagt sig ned på ryggen og kyssede René, mens han med usikre hænder nænsomt befølte hendes bryster	bryster	(102, 109)	same_sense
1399	bryst	sb.	Stolthed fyldte Kristoffers bryst	bryst	(28, 33)	Til lørdagsretten skal kun bryst, brystben og underlår bruges	bryst	(27, 32)	different_sense
1390	bryst	sb.	Hun lå og lyttede til den svage rallen fra hans bryst	bryst	(48, 53)	Stolthed fyldte Kristoffers bryst	bryst	(28, 33)	different_sense
1398	bryst	sb.	Stolthed fyldte Kristoffers bryst	bryst	(28, 33)	Jutta havde lagt sig ned på ryggen og kyssede René, mens han med usikre hænder nænsomt befølte hendes bryster	bryster	(102, 109)	different_sense
1402	brækfornemmelse	sb.	Alt kastes .. op igen ved hjælp af fingre, tandbørsteskafter eller lignende i halsen for at fremkalde brækfornemmelser	brækfornemmelser	(102, 118)	derfor kan jeg ikke holde synet af dig ud. Du giver mig brækfornemmelser	brækfornemmelser	(56, 72)	different_sense
1403	brændstof	sb.	naturgas .. er det reneste og bedste brændstof, man kender	brændstof	(37, 46)	FAXE KONDI med druesukker. Ekstra brændstof til hjerne og muskler	brændstof	(34, 43)	different_sense
1404	brændstof	sb.	naturgas .. er det reneste og bedste brændstof, man kender	brændstof	(37, 46)	den czekoslovakiske menneskeretsforkæmper Jiri Hajek .. fortæller om demokratiets brændstof	brændstof	(82, 91)	different_sense
1405	brændstof	sb.	FAXE KONDI med druesukker. Ekstra brændstof til hjerne og muskler	brændstof	(34, 43)	den czekoslovakiske menneskeretsforkæmper Jiri Hajek .. fortæller om demokratiets brændstof	brændstof	(82, 91)	different_sense
1406	bræt	sb.	tusinder af små, skæve huse, flikket sammen af blikplader og brædder, lå klinet til hinanden	brædder	(61, 68)	Alle mine muskler var spændte og hårde. Min krop var som et bræt	bræt	(60, 64)	same_sense
1407	bræt	sb.	tusinder af små, skæve huse, flikket sammen af blikplader og brædder, lå klinet til hinanden	brædder	(61, 68)	hun [tog] brættet, hun havde skåret brød på, og smed de sidste krummer ud i gården	brættet	(10, 17)	same_sense
1408	bræt	sb.	Alle mine muskler var spændte og hårde. Min krop var som et bræt	bræt	(60, 64)	hun [tog] brættet, hun havde skåret brød på, og smed de sidste krummer ud i gården	brættet	(10, 17)	same_sense
1412	bræt	sb.	tusinder af små, skæve huse, flikket sammen af blikplader og brædder, lå klinet til hinanden	brædder	(61, 68)	jeg [gik] ud på wc'et, slog brættet ned og satte mig til rette	brættet	(28, 35)	different_sense
1415	bræt	sb.	Skal vi lige have et rask spil ludo, inden vi lægger os? spurgte han tilfreds, og Inger gik efter bræt og brikker	bræt	(98, 102)	jeg [gik] ud på wc'et, slog brættet ned og satte mig til rette	brættet	(28, 35)	different_sense
1410	bræt	sb.	Alle mine muskler var spændte og hårde. Min krop var som et bræt	bræt	(60, 64)	Skal vi lige have et rask spil ludo, inden vi lægger os? spurgte han tilfreds, og Inger gik efter bræt og brikker	bræt	(98, 102)	different_sense
1421	brød	sb.	Der er mulighed for at få en kop kaffe med brød i cafeen	brød	(43, 47)	Kaffe, te og brød kan købes i cafeen	brød	(13, 17)	same_sense
1418	brød	sb.	Motellet duftede sådan af frisk brød. De havde nok sat kaffen over nu	brød	(32, 36)	Kaffe, te og brød kan købes i cafeen	brød	(13, 17)	same_sense
1422	brød	sb.	broderen .. skaffer brød på bordet ved røveri og svindel	brød	(20, 24)	siden tjente han til brødet som dekoratør, maler og arkitekt	brødet	(21, 27)	same_sense
1433	brød	sb.	Kaffe, te og brød kan købes i cafeen	brød	(13, 17)	broderen .. skaffer brød på bordet ved røveri og svindel	brød	(20, 24)	different_sense
1424	brød	sb.	hun flækkede et brød og gav sig til at smøre smør på	brød	(16, 20)	Form marcipan til et ovalt brød og skær det i skiver	brød	(27, 31)	different_sense
1423	brød	sb.	Motellet duftede sådan af frisk brød. De havde nok sat kaffen over nu	brød	(32, 36)	Form marcipan til et ovalt brød og skær det i skiver	brød	(27, 31)	different_sense
