target	context	form	position	label
godhed	Hun var godheden selv, og hun var uden svig, og du ved, hun var meget sød over for os børn	godheden	(8, 16)	1
godhed	han er som sagt en rar dreng, der fortjener andre menneskers godhed	godhed	(61, 67)	1
godhed	sættes der ikke stop for indvandringen af disse turister [: iranske flygtninge], må partierne til venstre for regeringen anvise de besparelser, denne godhed koster	godhed	(150, 156)	1
goutere	fagbevægelsen [har] svært ved at goutere, at socialdemokraterne fremtvinger et folketingsvalg, mens forhandlingerne om nye overenskomster er i gang	goutere	(33, 40)	-2
goutere	fortællerens modtagere er .. kendere, der kan goutere en god løgnehistorie, når de møder den	goutere	(46, 53)	-2
gribe	Efterhånden som jeg nærmede mig Rådhuspladsen, blev jeg grebet af en sær stemning	grebet	(56, 62)	-2
gribe	En hel families meningsløse udslettelse ved en bilulykke kort før nytår har grebet alle i lokalsamfundet dybt	grebet	(76, 82)	-2
grin	Drengene omkring mig var ved at knække sammen af grin. Tårerne trillede ned ad kinderne på dem	grin	(49, 53)	2
grin	Nu skal danskerne til revy og have sig et godt grin!	grin	(47, 51)	2
grin	til mors forbløffelse, kom far pludselig hjem, med et lusket grin samt en kæmpestor flæskesteg	grin	(61, 65)	-3
grin	der er ikke meget grin ved at besøge en halvinvalid som mig	grin	(18, 22)	-3
gris	Jonas jublede og tørrede sit ansigt af i farens trøje. "Din lille gris!" Erik smilte anstrengt	gris	(66, 70)	-3
gris	Du sidder og blotter bryster, din gris	gris	(34, 38)	-3
grue	Jeg ligger i min seng og gruer for en ny dag i skolen	gruer	(25, 30)	-3
grue	mit eget lille barn, din stakkel, hvordan skal det gå dig her i livet, moder gruer for dit liv og din fremtid	gruer	(77, 82)	2
grundig	offentligheden og politikerne har haft tid til en grundig debat om de etiske problemer	grundig	(50, 57)	-2
grundig	Niels er en dygtig og grundig lærer	grundig	(22, 29)	2
grusom	Du ved ikke, hvad det har kostet mig af overvindelse at være så kold og grusom mod dig i den sidste tid	grusom	(72, 78)	2
grusom	Hans lig var mishandlet på det grusomste	grusomste	(31, 40)	-2
grusom	heltinden blev lænket til et træ og led en grusom, detaljeret beskrevet død	grusom	(43, 49)	3
grusomhed	Der var ganske vist præster, der vendte sig mod nazismens grusomhed. De dannede en særlig tysk kirke: Bekendelseskirken	grusomhed	(58, 67)	3
grusomhed	mange dagbogssider .. er blevet til bøger om 1. verdenskrig og dens grusomheder	grusomheder	(68, 79)	3
gud	For hende var Albert Kelly en jordisk gud, en mand uden plet og lyde	gud	(38, 41)	3
guldbarre	En del af de nationale bankers valutareserve foreligger i form af guldbarrer	guldbarrer	(66, 76)	3
gulerodskage	[hun var] altid fuld af initiativ og den, der kom med boller og gulerodskage til kaffemik	gulerodskage	(64, 76)	3
handicap	Jeg synes nu, at kvindebevægelsen skaffede kvinderne et handicap. Rødstrømpe blev et skældsord	handicap	(56, 64)	3
harmoni	også tragedien har sin plads i Vorherres altomfattende harmoni	harmoni	(55, 62)	3
harmoni	simpel, taktfast musik uden alle de synkoper, sammenflettede rytmer og usædvanlige harmonier, der kendetegnede jazzen	harmonier	(83, 92)	3
heks	Lejlighedens indehaver havde kaldt min mor for en luder og heks og givet hende fingeren	heks	(59, 63)	3
held	Vi lejede en båd og havde det held, at det var herligt vejr og havblik	held	(30, 34)	-3
held	med en smule held [bliver vi] nr. 5 ved disse B-verdensmesterskaber	held	(13, 17)	-3
held	Jeg håber at din nye kop vil bringe dig held	held	(40, 44)	3
heldig	De har været heldig at blive født i et frit land	heldig	(13, 19)	3
heldig	Først i det nye år ved vi, hvem der fyres, og hvem der bliver de 30 heldige, som fortsætter	heldige	(68, 75)	2
heldig	Kun flot og lidt heldigt spil af den danske målmand forhindrede, at danskerne kom bagud	heldigt	(17, 24)	-2
heldig	Færø fik en hurtig og heldig rejse ad den sædvanlige rute	heldig	(22, 28)	-2
helt	Jack Mann var én af luftkrigens store helte. Som eskadrille-leder i RAF kæmpede Jack Mann i "slaget om England"	helte	(38, 43)	-2
helt	11 af dagliglivets helte belønnes nu for at have reddet andre mennesker i nød med eget liv som indsats	helte	(19, 24)	2
helt	Poul [Reichhardt] var min helt. Simpelt hen. God som skuespiller — pragtfuld som menneske	helt	(26, 30)	2
helvede	der ville komme en dommedag, hvor Gud ville sende menneskene i paradis eller til helvede	helvede	(81, 88)	2
helvede	Han er konstant på jagt efter bajere og stærk sprut — bare for at kunne holde helvedet ud	helvedet	(78, 86)	2
hengivenhed	Prøv at vise din hengivenhed for partneren mere i handling end i ord	hengivenhed	(17, 28)	-2
hengivenhed	de hellige selvplagere andre steder benytter [smerter] for at bevise deres hengivenhed for Gud	hengivenhed	(75, 86)	-2
himmel	[Muhammeds] rejse er så suppleret med en rejse gennem de syv himle op til Allahs trone	himle	(61, 66)	3
hindring	En af de største hindringer for kvinders ligestilling er kvinders manglende viden om egne rettigheder, mener Dansk Kvindesamfund	hindringer	(17, 27)	3
hindring	Ensom, lidt genert fyr på 28/184/92 søger pige på 25-30 år. Et enkelt barn ingen hindring	hindring	(81, 89)	-2
hindring	tilskud til drift af kantinerne er en hindring af den frie konkurrence	hindring	(38, 46)	-2
hjælp	Vores søn på 13 år er ordblind og skal have hjælp med lektierne	hjælp	(44, 49)	2
hjælp	ved fælles hjælp fik de bjærget Jonas ind til bredden	hjælp	(11, 16)	-2
hjælp	Kan du huske om du fik penge hjemmefra, fik du lidt hjælp hjemmefra?	hjælp	(52, 57)	2
hjælp	Panodil er hurtig hjælp mod hovedpine, muskel-, led- og menstruationssmerter	hjælp	(18, 23)	-2
hjælpeløs	I de sidste to år af sit liv lå han hjælpeløs i sin seng, og jeg måtte pleje ham, som var han et lille barn	hjælpeløs	(36, 45)	-2
hjælpeløs	Det kan du godt selv gøre, du skal ikke være så hjælpeløs	hjælpeløs	(48, 57)	-2
holdningspræget	det [er] vigtigt, at undervisning i holdningsprægede fag som religion, filosofi, historie og litteratur ikke svækkes på bekostning af eksakte videnskaber	holdningsprægede	(36, 52)	-2
hæder	Håndværkerne drager fra sogn til sogn og vinder sig hæder på godt arbejde	hæder	(52, 57)	-2
hæder	han fik en flot orden og titlen "Knight of the British Empire". Det er den fornemste hæder, en ikke-englænder kan opnå i England	hæder	(85, 90)	-2
hæmme	Brug aldrig salve direkte i åbne sår. Det hæmmer helingen	hæmmer	(42, 48)	2
hæmme	Silende regn er dyrskuernes værste fjende. Den hæmmer den megen udendørs aktivitet og der kommer ingen gæster	hæmmer	(47, 53)	-3
høflig	Han havde en stor buket blomster med til mig, var i det hele taget meget høflig og galant overfor mig	høflig	(73, 79)	-3
høns	Kan I for satan da ikke snart se at holde jeres kæft, bandede han. "Det er sgu aldrig til at få ro for jer to høns."	høns	(110, 114)	-3
håb	Det er vores håb, at denne artikel kan bidrage til at skabe større indsigt i det komplicerede område	håb	(13, 16)	-3
hård	ved hårdt fysisk arbejde med tunge løft øges risikoen for rygbesvær	hårdt	(4, 9)	-3
hård	Brøndby lagde hårdt ud i Valby Idrætspark med en 2-0-føring efter blot fem minutters spil	hårdt	(14, 19)	2
hård	Det hårde liv med masser af sprut og næsten ingen søvn har sat sine spor i udseendet	hårde	(4, 9)	-2
hård	Skilsmissen tog hårdt på mor, som fik dårlige nerver og begyndte at drikke	hårdt	(16, 21)	-2
hård	Jeg var nok lidt hård ved spillerne, når de lavede nogle fejl	hård	(17, 21)	-2
hård	Da jeg gik lidt hårdt til ham, fik jeg forklaringen	hårdt	(16, 21)	-2
ideal	Han var .. idealet af en svigersøn, altid betænksom og sød og rar over for hendes forældre	idealet	(11, 18)	-2
idiot	Hvem var den idiot, der sammenlignede sne med dun eller fjer? Sne er noget, der river som torne i ansigtet	idiot	(13, 18)	2
idiot	Jeg ved ikke, hvad der får dig til at virke som en idiot, men det er også lige meget — det virker	idiot	(51, 56)	2
idiot	Hva' faen ska' jeg gøre. Nøglen passer ikke, og nu står der oven i købet en idiot og glor på mig	idiot	(76, 81)	-2
idiot	Hun er jo ikke 18 år, og det kan enhver idiot se	idiot	(40, 45)	-3
idiot	De er en udmærket videnskabsmand, men De er en idiot til at overtale folk	idiot	(47, 52)	-3
igangværende	Sven Tarp udgav på forlaget Arbejderen i midten af maj en bog om den dengang igangværende Balkan-krig	igangværende	(77, 89)	-2
ild	da han ser hende, tændes ilden i hans øjne	ilden	(25, 30)	-2
illegal	Tekstilbranchen trængt op i en krog af illegal import af cowboybukser	illegal	(39, 46)	-2
illegal	Ingen ved med sikkerhed, hvor meget der spilles for illegalt i Danmark	illegalt	(52, 60)	-2
illegal	Land og Folk .. blev besættelsens største illegale avis, trykt op på mange illegale trykkerier landet over	illegale	(42, 50)	2
impliciit	Reklamerne siger implicit, at man ved at vælge Front Zett sko får en "fodoplevelse", som ikke kan fås andre steder	implicit	(17, 25)	3
indbyrdes	Deltagerne afgør selv indbyrdes, hvordan de vil bruge de bevilgede midler	indbyrdes	(22, 31)	-2
indespærre	det danske kommunistparti [blev] erklæret ulovligt, og over 100 kommunister blev indespærret i Horserød-lejren i Nordsjælland	indespærret	(81, 92)	-2
indespærre	Arne Treholt er nu indespærret på syvende år. Han blev idømt tyve års fængsel	indespærret	(19, 30)	-3
indflydelsesrig	Danske Kancelli var en indflydelsesrig forsamling i enevældens sidste årtier	indflydelsesrig	(23, 38)	-3
indflydelsesrig	den platonske idelære skulle vise sig at være indflydelsesrig helt op til renæssancen	indflydelsesrig	(46, 61)	-3
individuel	I 15 år spillede han 1. divisions basketball i Falcon – et hurtigt spil, der både kræver teamfunktion og gode individuelle præstationer	individuelle	(110, 122)	-2
indtægtsbestemt	Hvis vi .. lod indtægtsbestemte tillægsydelser, der er tilgængelige for alle, fylde mere (som i mange andre lande), ville vi også få problemer med, at det ikke altid kan betale sig at arbejde	indtægtsbestemte	(15, 31)	-2
journalistisk	Pressens folk værdsætter, at Ellemann-Jensen har en journalistisk fortid og ved, hvordan og hvornår "en god historie" skal lanceres	journalistisk	(52, 65)	-3
jævnaldrende	De havde fulgt hinanden hele vejen, hun var jævnaldrende med ham	jævnaldrende	(44, 56)	-2
kaos	Bag mig var et kaos af flyttekasser og poser, som jeg simpelthen ikke orkede at pakke ud nu	kaos	(15, 19)	-2
katastrofe	En del af tidens bryllupper blev hurtigt arrangeret, fordi kvinden var gravid. For en pige var det nemlig en katastrofe at føde et barn uden at være gift	katastrofe	(109, 119)	-2
katastrofe	I år regner Udenrigsministeriet med, at bruge 763 mio. kr. på områder med akut nød og katastrofer	katastrofer	(86, 97)	-2
katastrofe	Første halvleg var en katastrofe	katastrofe	(22, 32)	-2
katastrofe	Robert Hardy lægger krop til Churchill, mens Steven Berkoff er en katastrofe som Adolf Hitler	katastrofe	(66, 76)	-2
klage	Drengen i rummet bag stuen gav en klagende lyd fra sig inde i mørket, og kvinden rejste sig hurtigt og skyndte sig derind	klagende	(34, 42)	-2
klage	Jeg har enormt ondt i maven, klagede hun og håbede at få lidt medfølelse	klagede	(29, 36)	-2
klare	John Iversen klarede et par straffekast i 1. halvleg	klarede	(13, 20)	2
klasse	Fornemmelsen af klasse forstærkes, når man starter motoren og kører	klasse	(16, 22)	2
klemme	Børn kan føle sig i en uløselig klemme, når deres forældre bruger dem i et spil, hvor de skal vælge den ene eller den anden af dem	klemme	(32, 38)	2
klimatisk	Man har hidtil ment at kunne forklare bortfaldet af agerbrug i Island med henvisning til klimatiske faktorer	klimatiske	(89, 99)	-2
klæbrig	Vulgært lidenskabelig er hun, uden ligefrem at forgribe sig på nogen. Men klæbrig	klæbrig	(74, 81)	-2
knuse	En kvinde og to børn på 7 og 10 år blev knust og døde, da deres telt fik en fuldtræffer	knust	(40, 45)	-2
knuse	Mandens tilværelse er knust. Han sidder bare i en stol og ser apatisk frem for sig	knust	(22, 27)	-2
knuse	Ikast-himmelstormerne knuste FIFs 1. divisionspiger i en særdeles dramatisk og spændende pokalfinale	knuste	(22, 28)	-2
knække	De kan ikke knække os, siger litauerne og stiller sig som en levende forsvarsmur foran de sovjetiske tanks	knække	(12, 18)	-2
knække	Hvis den første million simpelt hen ikke er til at få fat i .. så knækker yuppien	knækker	(66, 73)	3
ko	du kan .. godt lade være med at stå og vade mig over tæerne, din store ko	ko	(71, 73)	3
kold	Jo mere kold og materialistisk verden bliver, jo mere har vi brug for at finde ind til de sande livsværdier	kold	(8, 12)	3
kold	TV-udsendelsen belyste meget koldt og kontant reglerne for familiesammenføringer	koldt	(29, 34)	3
kold	Jeg er fuldstændig kold over for kunstneres forsøg på at forarge borgerskabet	kold	(19, 23)	-3
konflikt	Mange skænderier og konflikter i parforholdene handler stadig om penge	konflikter	(20, 30)	-3
konflikt	Onsdag aften truede det jugoslaviske præsidentskab med at gribe ind i konflikten i Kosovo	konflikten	(70, 80)	2
konflikt	Der er grund til at frygte en række ulovlige, fysiske blokader i kølvandet på den overenskomstmæssige konflikt, som bryder ud natten til søndag	konflikt	(102, 110)	2
konflikt	der kan være konflikt mellem ønsket om at give udtryk for egne politiske synspunkter og hensynet til loyalitet overfor arbejdsgiveren	konflikt	(13, 21)	2
konflikt	Personen er sig ikke (eller vil ikke være sig) de aktuelle konflikter bevidst og holder derfor uacceptable følelser ude	konflikter	(59, 69)	2
konge	Den enevældige konge af rock'n roll [: Elvis Presley], er stadig blandt de bedst sælgende navne i populærmusikken	konge	(15, 20)	2
konge	Porschen er nu som før motorvejens konge	konge	(35, 40)	2
konge	laks er .. fiskenes konge og derfor så attråværdig	konge	(20, 25)	3
lovgive	Der skal ikke lovgives om dette spørgsmål, det skal udelukkende klares af arbejdsmarkedets parter	lovgives	(14, 22)	3
maile	hvis I skulle have eventuelle spørgsmål, så er I velkomne til at maile os	maile	(65, 70)	3
panere	Fileterne paneres i æg, rasp og steger i smør, til de er gyldne	paneres	(10, 17)	-3
planlægge	Hun har netop udgivet sin første LP, og hun er i gang med at planlægge sommerens koncert-turné	planlægge	(61, 70)	-3
prissætte	Vi prissætter aktuelt naturgas omkring 110 euro pr. MWh	prissætter	(3, 13)	3
prøvesmage	når vi har prøvesmagt, synker vi ikke vinen, men spytter den ud igen	prøvesmagt	(11, 21)	3
påbegynde	Undervisningen i engelsk som tilvalgsfag påbegyndes i 2. semester	påbegyndes	(41, 51)	3
redegøre	Byggestyrelsen har udgivet en pjece, der redegør for de regler, der skal overholdes	redegør	(41, 48)	2
sammenbrud	Efter Sovjetunionens sammenbrud knuses de gigantiske Stalinstatuer rundt om i det tidligere imperium	sammenbrud	(21, 31)	2
sammenbrud	Efter sammenbruddet på HK-området sent i aftes, er der lange udsigter til et forlig i midtvejs-forhandlingerne	sammenbruddet	(6, 19)	-3
sammenbrud	Efter sammenbruddet ved receptionen bliver hun indlagt med en depression	sammenbruddet	(6, 19)	-3
sammenbrud	den liberale økonomi [er] ved at drive kloden ud i et økologisk sammenbrud, hvor der ikke er nogen vej tilbage	sammenbrud	(64, 74)	-3
sammenbrud	feriebilen [kræver] et check, før den skal afsted. Før den får et sammenbrud	sammenbrud	(66, 76)	-3
sammenbrud	Nordisk Tekstil i Odense med 330 ansatte er blevet en brik i en amerikansk retssag efter Nordisk Fjers sammenbrud	sammenbrud	(103, 113)	2
sejr	Selv om Sovjetunionen kom ud af krigen med sejr, havde lidelserne og tabene — endnu en gang — været enorme	sejr	(43, 47)	2
sejr	Facit i holdsejladsen blev syv danske sejre, en fjerdeplads og en andenplads	sejre	(38, 43)	2
sejr	Ordet .. blev en ny og stor sejr for Carl Th. Dreyers filmkunst	sejr	(28, 32)	2
sejr	Regeringens sejr over inflationen er et .. velstandsværn for ikke mindst de laveste indkomster	sejr	(12, 16)	2
selvmord	et stigende antal unge mennesker .. vælger selvmord som løsning på deres problemer	selvmord	(43, 51)	2
selvmord	Han gjorde selvmord i 1952 efter uoverensstemmelser med Nordisk Film	selvmord	(11, 19)	2
sikker	Deres penge er sikre her i banken	sikre	(15, 20)	2
sikre	På banegården stod min cykel heldigvis stadig godt fastlåst til stativet. De tre låse har indtil nu sikret mod diverse overgreb	sikret	(100, 106)	2
sikre	Alle master og andre metaldele, som kunderne kunne berøre, er sikrede med synlige jordkabler	sikrede	(62, 69)	-3
sikre	Jerry Lewis, 63, har sikret sig en ekstra julegave, idet hans kone Sandra, 38, venter sit første barn	sikret	(21, 27)	3
sikre	Et ja ved næste EF-folkeafstemning vil sikre Danmark 100.000 flere arbejdspladser, end landet ellers ville få	sikre	(39, 44)	3
sikre	Fortjenesten blev brugt til at sikre børnenes fremtid	sikre	(31, 36)	3
sjov	Finten i løbet var, at der kun var to cykler til de ti stafetter. Det kom der en hel del sjov ud af	sjov	(89, 93)	3
sjov	Her på egnen boede en ældre mand, som var fuld af sjov og spilopper, og børnene elskede ham	sjov	(50, 54)	2
sjov	Jeg træner og lever meget seriøst nu, og der er ikke noget med at gå på sjov om aftenen	sjov	(72, 76)	2
skandale	Det forholder sig ofte sådan, at jo mere man graver i en skandale, jo mere skidt kommer der frem. Denne sag er ingen undtagelse	skandale	(57, 65)	2
skandale	Hvis folk finder ud af det her, bliver der en forfærdelig skandale	skandale	(58, 66)	2
skarp	Da han nærmede sig stue 314, opfangede hans skarpe hørelse en svag rallen	skarpe	(44, 50)	2
skarp	Jeg holdt skarpt øje med ham under middagen	skarpt	(10, 16)	2
skarp	Han havde hurtigt fået en fornemmelse af, hvilken skarp hjerne der gemte sig bag den smukke, glatte pande	skarp	(50, 55)	2
skinne	de levende mørke øjne .. skinner af livsglæde	skinner	(25, 32)	2
skæg	vi kunne godt sådan danse med dem og have lidt skæg med dem	skæg	(47, 51)	2
slaveri	Danmark er blevet meget rost for at være én af de første nationer, der afskaffede slaveriet	slaveriet	(82, 91)	-3
slaveri	Dansktænkende advarede .. i 1972 og senere mod, at EF betyder slaveri under storkapitalister sydfra	slaveri	(62, 69)	-3
slet	[han] drog på weekend med en dame — oh skam — af en så slet karakter, at hun end ikke burde nævnes	slet	(55, 59)	-3
slet	Vi har syndet, vi har handlet slet og ugudeligt, vi har gjort oprør og er veget fra dine befalinger og bud	slet	(30, 34)	2
spørgeskema	Der er 41 spørgsmål i spørgeskemaet på de næste to sider, og det er uhyre vigtigt, at du besvarer alle 41 spørgsmål helt ærligt	spørgeskemaet	(22, 35)	2
stabil	Hvorfor har du valgt netop dét bord? Fordi det er pænt, og fordi det er et stabilt bord	stabilt	(75, 82)	2
stabil	Vi tilbyder: Et ansvarsfuldt og selvstændigt job i et stabilt firma inden for levnedsmiddelbranchen	stabilt	(54, 61)	2
stolt	jeg er da lidt stolt af mig selv over at jeg helt har lagt cigaretrygningen bag mig	stolt	(15, 20)	2
stolt	Det ser flot ud i tv, når de stolte sejlskibe kløver bølgerne	stolte	(29, 35)	2
stolthed	Mikkeli svulmede af stolthed over sit smukke land	stolthed	(20, 28)	3
stolthed	hans hjerte fyldtes med stolthed over den operation, han havde gennemført. Alt var gået planmæssigt	stolthed	(24, 32)	3
stolthed	hans mørke, tykke hår har altid været hans stolthed	stolthed	(43, 51)	-3
stor	Hun var en stor personlighed og utrolig vital	stor	(11, 15)	-3
stor	han er en .. respekteret embedsmand der sidder i ikke mindre end nitten år i denne store stilling	store	(83, 88)	-3
straf	Nogen tror på den evige genkomst eller på straf og belønning efter fortjeneste i det hinsidige	straf	(42, 47)	2
stråle	Hendes øjne stråler, og hun har det dejligt	stråler	(12, 19)	2
styrke	Blod er varmt og er en kilde til kraft og styrke	styrke	(42, 48)	2
styrke	Jeg synes, det er en vidunderlig tid, hvor alle folk er glade .. for mig giver december kraft og styrke til resten af året	styrke	(97, 103)	2
styrke	Hans styrke i armene og hans udtryk af kraft gav hende en art tryghed tilbage	styrke	(5, 11)	2
styrke	Bogens styrke ligger i, at den viser os mangfoldigheden i sygdomsopfattelse	styrke	(7, 13)	2
stærk	De nye ledere havde det mål, at Japan skulle være en stærk og moderne stat	stærk	(53, 58)	-3
stærk	Løbet blev .. vundet af Danmarks p.t. stærkeste skiløber, Ebbe Hartz, Århus	stærkeste	(38, 47)	-3
støtte	Jeg har en fantastisk støtte i min familie, som bakker mig 100 procent op i min interesse for at synge	støtte	(22, 28)	-3
sund	hun er et sundt og rask menneske og har så at sige aldrig været syg i hele sin levetid	sundt	(10, 15)	2
sund	Noget for noget — det er da en sund tankegang, som enhver kan forstå	sund	(31, 35)	3
sund	Projektet er en sund investering, der på langt sigt vil give overskud	sund	(16, 20)	3
sund	kartofler .. smager godt og er sunde	sunde	(31, 36)	2
sund	Cykelturen mellem hjem og arbejde er sund motion	sund	(37, 41)	2
svin	Knudsen var forsvundet, det feje svin. Han havde forrådt dem	svin	(33, 37)	3
svin	Det er den gamle melodi om at i Gentofte bor de rige svin, og de skal ned med nakken	svin	(53, 57)	3
svin	I spjældet blev man et svin med sig selv. Stanken af sur mandesved blev en naturlig "aroma"	svin	(23, 27)	3
sæbe	Jeg vasker håret hver morgen – kommer rigeligt med sæbe i, således at der er skum nok til resten af kroppen	sæbe	(51, 55)	2
sød	Den snart 20-årige sangerinde er stadig den søde, charmerende og smilende pige, der har bevaret fornuften og jordforbindelsen trods sin succes	søde	(44, 48)	3
sød	Den lille hvalp var sød, hun var lige ved at sige: Lad mig få den!	sød	(20, 23)	3
sød	Betina har et sødt ansigt med et lyst fehår, som altid er bundet op med diverse tørklæder	sødt	(14, 18)	3
sød	Hvor er det sødt af dig at komme med blomster til mig	sødt	(12, 16)	2
sød	Hun var stor, rund og rar. Hun var sød ved alle børnene i klassen	sød	(35, 38)	2
sød	Der var også noget fortryllende ved at gemme på en sød hemmelighed, at eje noget, andre var udelukket fra at vide besked med	sød	(51, 54)	2
telefonere	Jeg telefonerede hjem til min bank efter penge og fik overført et anseligt beløb	telefonerede	(4, 16)	2
udleje	firmaet TransMedia .. udlejer reklamepladser bl.a. på DSB-områder	udlejer	(22, 29)	2
ufejlbarlig	Videnskaben er heller ikke ufejlbarlig, der er sket dybt beskæmmende fejl, og regulær svindel forekommer desværre også	ufejlbarlig	(27, 38)	2
ufejlbarlig	brevskrivningen [er] et ufejlbarligt middel til at holde dels sin stavning, dels sin håndskrift ved lige, hvis man altså holder sig til kuglepennen	ufejlbarligt	(24, 36)	2
uforskammet	Hun så igen på sit ur. Nu varede det ikke ret længe, før hun kunne tillade sig at bryde op uden at virke uforskammet	uforskammet	(105, 116)	2
uforskammet	Vores kulturliv er præget af en uforskammet hovenhed overfor almindelige mennesker	uforskammet	(32, 43)	3
uforskammet	De blokeringsfrie bremser er uforskammet dyre hos Audi	uforskammet	(29, 40)	3
underholde	De taler aldrig sygdom, men underholder hinanden med kortspil og små politiske diskussioner	underholder	(28, 39)	3
understøtte	En lægeerklæring understøtter kvindens forklaring om voldtægten	understøtter	(17, 29)	-3
ungdommelig	Hvor ser du dog ungdommelig ud med din nye frisure	ungdommelig	(16, 27)	-3
ungdommelig	Forskningen nyder godt af den ungdommelige begejstring og det gåpåmod som engagerede ingeniørstuderende er i besiddelse af	ungdommelige	(30, 42)	-3
usårlig	I et sagn om den danske konge Regnar Lodbrog bliver det fortalt, at hans kone Kraka fik lavet en skjorte til ham, som gjorde ham usårlig	usårlig	(129, 136)	0
usårlig	Stensen mærkede, at troens skjold gjorde ham usårlig over for verdens rænkespil	usårlig	(45, 52)	0
vanvid	Hun følte vanviddet bryde frem i sin hjerne igen, og denne gang var hun sikker på, at hun aldrig mere ville slippe af med de hviskende stemmer og de frygtelige hallucinationer	vanviddet	(10, 19)	0
vanvid	forelskelse [er] et vanvid, der griber én, – og som i enkelte, lykkelige tilfælde udvikler sig til kærlighed	vanvid	(20, 26)	0
vanvid	Det er vanvid at forsøge at løse arbejdsløshedsproblematikken via en forøget beskatning af investeringer	vanvid	(7, 13)	0
varme	Hun synger med varme og indlevelse	varme	(15, 20)	0
velbehag	Han spiste med ægte velbehag tre stykker gulerodskage til eftermiddagsteen	velbehag	(20, 28)	0
velbehag	Ære være Gud i det højeste og på jorden! Fred til mennesker med Guds velbehag!	velbehag	(69, 77)	0
venlig	Han er kendt som et venligt og besindigt menneske, der er behagelig at samarbejde med	venligt	(20, 27)	0
venlig	Lokalerne er nu sat flot i stand med lyse og venlige farver	venlige	(45, 52)	0
vidunder	Lis Jeppesen er et vidunder i rollen [som Giselle]. Inkarnationen af uskyld og renhed	vidunder	(19, 27)	0
vidunder	[blenderen] er et vidunder i enhver husholdning. Den kan røre lette deje, purere, mose og meget mere	vidunder	(18, 26)	0
vidunder	stolt viser hun sit lille vidunder frem	vidunder	(26, 34)	0
vigtighed	De seneste års forskning har bl.a. bevist vigtigheden af, at man får tilstrækkelig med fiber	vigtigheden	(42, 53)	0
vild	Erhvervsbanken var helt vild efter at få Henry til at sælge sit hus til dem	vild	(24, 28)	0
vild	Pladeselskaberne er i øjeblikket vilde for at skrive kontrakt med rapbands	vilde	(33, 38)	0
vild	jeg var ikke alene om at være vild med ham. En pige fra hans egen klasse havde det tydeligt nok som mig	vild	(30, 34)	0
vinde	De danske fodbolddamer vandt 1-0 over Italien i Vejle	vandt	(23, 28)	0
vinde	Selv om det har varet mange år, har jeg vundet over min sygdom	vundet	(40, 46)	0
vinde	I Lotto kan man vinde flere millioner ved at ramme syv tal, men der er over fem millioner muligheder	vinde	(16, 21)	0
vinde	[man] malede løs, vandt erfaringer ved at eksperimentere sig frem og fandt på den måde anvendelige regler	vandt	(18, 23)	0
vinde	under selve beslutningsprocessen er det en politikers opgave at vinde andre politikere for sit synspunkt	vinde	(64, 69)	0
vinde	Han vandt alles hjerter ved sin åbne, ligefremme adfærd	vandt	(4, 9)	0
vinde	jeg vinder ved at bruge den kollektive trafik: Jeg kan jo sidde og arbejde i toget	vinder	(4, 10)	0
vinde	Årgang 1987 præges af en vis syre, men vinder ved at blive dekanteret og serveret sval	vinder	(39, 45)	0
vinder	Umiddelbart efter lodtrækningen vil vinderne få gavekortet tilsendt	vinderne	(36, 44)	0
vinder	Det højreekstremistiske parti DVU blev den store vinder ved gårsdagens valg i Sachsen-Anhalt	vinder	(49, 55)	0
vinder	Lykkehjulet er et kalkuleret tv-produkt, der er en sikker vinder i kampen om seerne	vinder	(58, 64)	0
vold	Mange mennesker er parate til at anvende vold, når de kommer ud for et problem eller en konflikt	vold	(41, 45)	0
vold	Vold kan have mange former, lige fra den milde vold f.eks. en lussing, til de grovere former for vold, hvor der er anvendt våben, f.eks. kniv, stok eller revolver	vold	(97, 101)	0
vold	Passiv psykisk vold foreligger, hvis barnets forældre ikke er i stand til at stimulere barnet og give barnet den nødvendige omsorg og kærlighed	vold	(15, 19)	0
værdisætte	hvor helårshusets pris især bestemmes af husets størrelse og kvalitet, værdisættes sommerhusene primært af beliggenheden i forhold til naturen	værdisættes	(71, 82)	0
