target	candidates	label	comment	section
opsigelsesvarsel	['søgnehelligdag', 'opsigelsesfrist', 'ferie', 'markedsføring']	opsigelsesfrist	true synonym	20.006
medarbejdersamtale	['arbejdsmiljølov', 'underskudsforretning', 'venstrekantspiller', 'medarbejderudviklingssamtale']	medarbejderudviklingssamtale	true synonym	20.006
sikkerhedsrepræsentant	['betalingsfrist', 'romantik', 'arbejdsmiljørepræsentant', 'bedriftsråd']	arbejdsmiljørepræsentant	true synonym	20.006
telefonsalg	['halvpart', 'julehandel', 'udlånspolitik', 'telemarketing']	telemarketing	true synonym	20.026
prisklasse	['prislag', 'bytteværdi', 'kunstfond', 'hedning']	prislag	true synonym	20.026
mindstepris	['kassekredit', 'reformpolitiker', 'minimumspris', 'prisgab']	minimumspris	true synonym	20.026
ordreseddel	['togforsinkelse', 'erindringsgave', 'ordreindgang', 'bestillingsseddel']	bestillingsseddel	true synonym	20.026
bedrager	['svindler', 'hykler', 'landsforræder', 'nekrofili']	svindler	true synonym	21.008
forræder	['gavn', 'overløber', 'luskebuks', 'voldsdom']	overløber	true synonym	21.008
krigsforbryderdomstol	['krigsforbrydertribunal', 'spætte', 'politivold', 'undersøgelsesdomstol']	krigsforbrydertribunal	true synonym	21.023
krigsret	['udformning', 'garanti', 'skifteret', 'militærdomstol']	militærdomstol	true synonym	21.023
undersøgelsesret	['undersøgelsesdomstol', 'efterklang', 'underret', 'retfærdighed']	undersøgelsesdomstol	true synonym	21.023
søgsmål	['domssag', 'sagsanlæg', 'frikendelse', 'mindelund']	sagsanlæg	true synonym	21.023
retssag	['prøvesag', 'soning', 'laboratoriekontrol', 'sag']	sag	true synonym	21.023
anklage	['navneforbud', 'planløshed', 'tiltale', 'tvangsbøde']	tiltale	true synonym	21.023
anstand	['uhæderlighed', 'antipode', 'navneforbud', 'henstand']	henstand	true synonym	21.023
retssal	['tilbageståenhed', 'tingsted', 'retslokale', 'junta']	retslokale	true synonym	21.023
faun	['troldebarn', 'satyr', 'fadder', 'plejehjemsbeboer']	satyr	true synonym	22.004
skytsånd	['rise', 'ritual', 'kastesystem', 'genius']	genius	true synonym	22.004
syn	['kald', 'vision', 'fodende', 'antropomorfisme']	vision	true synonym	22.004
skib	['tyranni', 'kirkeskib', 'sognegård', 'gudsøn']	kirkeskib	true synonym	22.015
døbefont	['granatsplint', 'font', 'hjemmedåb', 'tabernakel']	font	true synonym	22.015
